text,cleaned_text,rating,sentiment_label,tokens_word,tokens_subword
"Độ bền:t sài được 8 ngày thì có vô tình lúc mới ngủ dậy, tay quơ ra rất nhẹ nhưng bay luôn cái tai bên phải Chất lượng:âm thanh bình thường, ổn Thiết kế:thiết kế đẹp nha, cũng êm tai và khá thời trang.","độ bền_t dùng được 8 ngày thì có vô_tình lúc mới ngủ dậy , tay quơ ra rất nhẹ nhưng bay luôn cái tai bên phải chất_lượng lượng âm_thanh bình_thường , ổn thiết_kế thiết_kế đẹp_nha , cũng êm_tai và khá thời_trang .",1,tích cực,"độ bền_t dùng được 8 ngày thì có vô_tình lúc mới ngủ dậy , tay quơ ra rất nhẹ nhưng bay luôn cái tai bên phải chất_lượng_lượng âm_thanh bình_thường , ổn thiết_kế thiết_kế_đẹp_nha , cũng êm_tai và khá thời_trang .","độ bền_@@ t dùng được 8 ngày thì có vô_tình lúc mới ngủ dậy , tay quơ ra rất nhẹ nhưng bay luôn cái tai bên phải chất_lượng lượng âm_thanh bình_thường , ổn thiết_kế thiết_kế đẹp_@@ nha , cũng ê@@ m_t@@ ai và khá thời_trang ."
"Âm thanh:bị rè khi không phát nhạc lẫn đang phát nhạc Thiết kế:đau tai, tai to thì đeo Độ bền:mới dùng được 1 lần và cũng k muốn dùng tiếp Đóng gói bình thường, không có hộp đựng tai nghe như loại mình thường mua, chỉ là một cái vỏ bằng giấy bọc tai nghe r bỏ vào hộp carton thôi, ghim vào máy mãi không thấy biểu tượng kết nối của tai nghe, cả 5p loay mới kết nối được, một lúc lại tự ngắt kết nối, đeo lên đau tai cực, dù shop có tặng thêm mút cao su nhưng đeo tí nó tự tuột tai nghe ra khỏi tai thôi, ai tai to thì chắc k rơi như mình, âm thanh rè nhiễu nghe khó chịu lắm, trong tầm giá này mua loại thường màu trắng vẫn còn khá hơn tai nghe này. Lần đầu cũng như lần cuối, xem như trải nghiệm vậy. 😓","âm_thanh bị rè khi không phát_nhạc lẫn đang phát_nhạc thiết_kế đau tai , tai_to thì đeo_độ bền mới dùng được 1 lần và cũng không muốn dùng tiếp đóng_gói bình_thường , không có hộp đựng tai nghe như loại mình thường mua , chỉ là một cái vỏ bằng giấy bọc tai nghe rồi bỏ vào hộp carton thôi , ghim vào máy mãi không thấy biểu_tượng kết_nối của tai nghe , cả 5 p loay mới kết_nối được , một lúc lại tự_ngắt kết_nối , đeo lên đau tai_cực , dù shop có tặng thêm mút cao_su nhưng đeo tí nó tự tuột_tai nghe ra khỏi tai thôi , ai tai_to thì chắc không rơi như mình , âm_thanh rè_nhiễu nghe khó_chịu lắm , trong tầm_giá này mua loại thường màu trắng vẫn còn khá hơn tai nghe này . lần đầu cũng như lần cuối , xem như trải_nghiệm vậy .",1,tiêu cực,"âm_thanh bị rè khi không phát_nhạc lẫn đang phát_nhạc thiết_kế đau tai , tai_to thì đeo_độ_bền mới dùng được 1 lần và cũng không muốn dùng tiếp đóng_gói bình_thường , không có hộp đựng tai nghe như loại mình thường mua , chỉ là một cái vỏ bằng giấy bọc tai nghe rồi bỏ vào hộp carton thôi , ghim vào máy mãi không thấy biểu_tượng_kết_nối của tai nghe , cả 5 p loay mới kết_nối được , một lúc lại tự_ngắt_kết_nối , đeo lên đau tai_cực , dù shop có tặng thêm mút cao_su nhưng đeo tí nó tự tuột_tai nghe ra khỏi tai thôi , ai tai_to thì chắc không rơi như mình , âm_thanh rè_nhiễu nghe khó_chịu lắm , trong tầm_giá này mua loại thường màu trắng vẫn còn khá hơn tai nghe này . lần đầu cũng như lần cuối , xem như trải_nghiệm vậy .","âm_thanh bị rè khi không phát_@@ nhạc lẫn đang phát_@@ nhạc thiết_kế đau tai , ta@@ i_t@@ o thì đeo_@@ độ bền mới dùng được 1 lần và cũng không muốn dùng tiếp đóng_gói bình_thường , không có hộp đựng tai nghe như loại mình thường mua , chỉ là một cái vỏ bằng giấy bọc tai nghe rồi bỏ vào hộp carton thôi , ghim vào máy mãi không thấy biểu_tượng kết_nối của tai nghe , cả 5 p lo@@ ay mới kết_nối được , một lúc lại tự_@@ ngắt kết_nối , đeo lên đau tai_@@ cực , dù shop có tặng thêm mút cao_su nhưng đeo tí nó tự t@@ uộ@@ t_tai nghe ra khỏi tai thôi , ai ta@@ i_t@@ o thì chắc không rơi như mình , âm_thanh rè@@ _nh@@ iễu nghe khó_chịu lắm , trong tầm_@@ giá này mua loại thường màu trắng vẫn còn khá hơn tai nghe này . lần đầu cũng như lần cuối , xem như trải_nghiệm vậy ."
"Sac full, nghe chua DC 3h het pin, nghe trung bình, ko Maxx vol","sac full , nghe chua được 3 h het_pin , nghe trung_bình , không maxx vol",1,tiêu cực,"sac full , nghe chua được 3 h het_pin , nghe trung_bình , không maxx vol","sac full , nghe chua được 3 h he@@ t_@@ pin , nghe trung_bình , không ma@@ xx vol"
"Tai nghe chỉ nghe được 1 bên, đóng gói lỏng lẻo.","tai nghe chỉ nghe được 1 bên , đóng_gói lỏng_lẻo .",1,tiêu cực,"tai nghe chỉ nghe được 1 bên , đóng_gói lỏng_lẻo .","tai nghe chỉ nghe được 1 bên , đóng_gói lỏng_lẻo ."
Độ bền:chưa biết Thiết kế:còn dính keo nham nhở,độ bền chưa biết thiết_kế còn dính keo nham_nhở,1,tiêu cực,độ bền chưa biết thiết_kế còn dính keo nham_nhở,độ bền chưa biết thiết_kế còn dính keo nham_nhở
khui ra tai nghe bị đứt dây,khui ra tai nghe bị đứt dây,1,tiêu cực,khui ra tai nghe bị đứt dây,khui ra tai nghe bị đứt dây
"Đúng với mô tả:mô tả cotton 100% mà giống áo 50k mua ở chợ Chất liệu:giống áo pha polester nên mặc nóng lắm cầm cái áo mà biết chắc là nó nóng vcl lun ấy mng, shop ghi rõ ràng là 100% cotton mà mác sau áo là cái chất vải gì ấy, thề bỏ tiền cả trăm ngàn nhận đc cái áo mà cầm thôi đã thấy chán rồi,chưa kể cổ áo làm nhỏ so với fom, (update) sop rep đánh giá sai lệch thôg tin, tin ai là tuỳ mng nhé 😊","đúng với mô_tả mô_tả cotton 100 mà giống áo 50 k mua ở chợ chất_lượng liệu giống áo pha polester nên mặc nóng lắm cầm cái áo mà biết chắc là nó nóng_vcl luôn ấy mọi người , shop ghi rõ_ràng là 100 cotton mà mác sau áo là cái chất_lượng vải gì ấy , thề bỏ tiền cả trăm_ngàn nhận được cái áo mà cầm thôi đã thấy chán rồi , chưa kể cổ_áo làm nhỏ so với fom , update_sop phản_hồi đánh_giá sai_lệch thôg tin , tin ai là tùy mọi người nhé vui_vẻ",1,tiêu cực,"đúng với mô_tả mô_tả cotton 100 mà giống áo 50 k mua ở chợ chất_lượng_liệu giống áo pha polester nên mặc nóng lắm cầm cái áo mà biết chắc là nó nóng_vcl luôn ấy mọi người , shop ghi rõ_ràng là 100 cotton mà mác sau áo là cái chất_lượng vải gì ấy , thề bỏ tiền cả trăm_ngàn nhận được cái áo mà cầm thôi đã thấy chán rồi , chưa kể cổ_áo làm nhỏ so với fom , update_sop phản_hồi đánh_giá sai_lệch thôg tin , tin ai là tùy mọi người nhé vui_vẻ","đúng với mô_tả mô_tả cotton 100 mà giống áo 50 k mua ở chợ chất_lượng liệu giống áo pha pol@@ ester nên mặc nóng lắm cầm cái áo mà biết chắc là nó nóng_@@ v@@ c@@ l luôn ấy mọi người , shop ghi rõ_ràng là 100 cotton mà mác sau áo là cái chất_lượng vải gì ấy , thề bỏ tiền cả trăm_ngàn nhận được cái áo mà cầm thôi đã thấy chán rồi , chưa kể cổ_@@ áo làm nhỏ so với f@@ om , up@@ d@@ ate@@ _s@@ op phản_hồi đánh_giá sai_lệch thô@@ g tin , tin ai là tù@@ y mọi người nhé vui_vẻ"
Số lượng 2 cái mà sao chỉ có một cái áo là sao ạ :)) mấy hôm trước nhận được hàng nhưng có việc nên chưa kịp bóc dừ về bóc chỉ được có một cái đúng là rất bức xúc luôn á :)) đã một cái áo thì tính tiền một cái thoii đi đằng này một cái áo mà tính bằng giá 2 cái áo đúng là không chấp nhận nổi😡,số_lượng 2 cái mà sao chỉ có một cái áo là sao ạ mấy hôm trước nhận được hàng nhưng có việc nên chưa kịp bóc dừ về bóc chỉ được có một cái đúng là rất bức_xúc luôn á đã một cái áo thì tính tiền một cái thoii đi đằng này một cái áo mà tính bằng giá 2 cái áo đúng là không chấp_nhận nổi tệ,1,tiêu cực,số_lượng 2 cái mà sao chỉ có một cái áo là sao ạ mấy hôm trước nhận được hàng nhưng có việc nên chưa kịp bóc dừ về bóc chỉ được có một cái đúng là rất bức_xúc luôn á đã một cái áo thì tính tiền một cái thoii đi đằng này một cái áo mà tính bằng giá 2 cái áo đúng là không chấp_nhận nổi tệ,số_lượng 2 cái mà sao chỉ có một cái áo là sao ạ mấy hôm trước nhận được hàng nhưng có việc nên chưa kịp bóc d@@ ừ về bóc chỉ được có một cái đúng là rất bức_xúc luôn á đã một cái áo thì tính tiền một cái tho@@ ii đi đằng này một cái áo mà tính bằng giá 2 cái áo đúng là không chấp_nhận nổi tệ
"Lần đầu phải đánh giá 1 sao vì trải nghiệm quá tệ. Shop giao cho mình áo bị lỗi rồi kêu mình đi giặt sẽ ra các thứ nếu k ra sẽ hoàn tiền nhưng khi mình báo lại hàng lỗi thì shop kêu mình trả hàng hoàn tiền, oke mình liền gói hàng cho shipper tới lấy áo vì shopper hiện ngày lấy hàng là 22/6 và mình đang cần áo rất gấp mình cũng đã nói. Nhưng cách giải quyết của shop là áo phải gửi tới thì shop mới hoàn tiền và mình phải chờ tới khi đc hoàn tiền thì mới dc đặt lại áo mới thay vì shop gửi lại mình chiếc áo khác và mình k phải bấm trả hàng hoàn tiền, mình còn đang là học sinh k có đủ tiền để đặt lại chiếc áo khác như shop hướng dẫn. - áo sau 1 lần giặt thì cổ áo đã có dấu hiệu giãn. Vải thì rất ok với giá tiền nhưng chắc vì đã có một lượng khách ổn định nên shop k thiết tha những khách mua lần đầu như mình. Có lẽ với shop 100 ngàn không phải là số tiền quá lớn vì một ngày đã có rất nhiều đơn lớn hơn nhưng với mình 100 ngàn k hề nhỏ. Chúc shop buôn may bán đắt ngậm 100 ngàn tiền mồ hôi nước mắt của em thật vui vẻ.","lần đầu phải đánh_giá 1 sao vì trải_nghiệm quá tệ . shop giao cho mình áo bị lỗi rồi kêu mình đi giặt sẽ ra các thứ nếu không ra sẽ hoàn_tiền nhưng khi mình báo lại hàng lỗi thì shop kêu mình trả hàng hoàn_tiền , oke mình liền gói hàng cho shipper tới lấy áo vì shopper hiện ngày lấy hàng là 22 6 và mình đang cần áo rất gấp mình cũng đã nói . nhưng cách giải_quyết của shop là áo phải gửi tới thì shop mới hoàn_tiền và mình phải chờ tới khi được hoàn_tiền thì mới được đặt lại áo mới thay_vì shop gửi lại mình chiếc áo khác và mình không phải bấm trả hàng hoàn_tiền , mình còn đang là học_sinh không có đủ tiền để đặt lại chiếc áo khác như shop hướng_dẫn . áo sau 1 lần giặt thì cổ_áo đã có dấu_hiệu giãn . vải thì rất ok với giá tiền nhưng chắc vì đã có một lượng khách ổn_định nên shop không thiết_tha những khách mua lần đầu như mình . có_lẽ với shop 100 ngàn không phải là số tiền quá lớn vì một ngày đã có rất nhiều đơn lớn hơn nhưng với mình 100 ngàn không hề nhỏ . chúc shop buôn_may bán đắt ngậm 100 ngàn tiền mồ_hôi_nước_mắt của em thật vui_vẻ .",1,tiêu cực,"lần đầu phải đánh_giá 1 sao vì trải_nghiệm quá tệ . shop giao cho mình áo bị lỗi rồi kêu mình đi giặt sẽ ra các thứ nếu không ra sẽ hoàn_tiền nhưng khi mình báo lại hàng lỗi thì shop kêu mình trả hàng hoàn_tiền , oke mình liền gói hàng cho shipper tới lấy áo vì shopper hiện ngày lấy hàng là 22 6 và mình đang cần áo rất gấp mình cũng đã nói . nhưng cách giải_quyết của shop là áo phải gửi tới thì shop mới hoàn_tiền và mình phải chờ tới khi được hoàn_tiền thì mới được đặt lại áo mới thay_vì_shop gửi lại mình chiếc áo khác và mình không phải bấm trả hàng hoàn_tiền , mình còn đang là học_sinh không có đủ tiền để đặt lại chiếc áo khác như shop_hướng_dẫn . áo sau 1 lần giặt thì cổ_áo đã có dấu_hiệu_giãn . vải thì rất ok với giá tiền nhưng chắc vì đã có một lượng khách ổn_định nên shop không thiết_tha những khách mua lần đầu như mình . có_lẽ với shop 100 ngàn không phải là số tiền quá lớn vì một ngày đã có rất nhiều đơn lớn hơn nhưng với mình 100 ngàn không hề nhỏ . chúc shop buôn_may bán đắt ngậm 100 ngàn tiền mồ_hôi_nước_mắt của em thật vui_vẻ .","lần đầu phải đánh_giá 1 sao vì trải_nghiệm quá tệ . shop giao cho mình áo bị lỗi rồi kêu mình đi giặt sẽ ra các thứ nếu không ra sẽ hoàn_t@@ iền nhưng khi mình báo lại hàng lỗi thì shop kêu mình trả hàng hoàn_t@@ iền , o@@ ke mình liền gói hàng cho shipper tới lấy áo vì sho@@ pper hiện ngày lấy hàng là 22 6 và mình đang cần áo rất gấp mình cũng đã nói . nhưng cách giải_quyết của shop là áo phải gửi tới thì shop mới hoàn_t@@ iền và mình phải chờ tới khi được hoàn_t@@ iền thì mới được đặt lại áo mới thay_vì shop gửi lại mình chiếc áo khác và mình không phải bấm trả hàng hoàn_t@@ iền , mình còn đang là học_sinh không có đủ tiền để đặt lại chiếc áo khác như shop hướng_dẫn . áo sau 1 lần giặt thì cổ_@@ áo đã có dấu_hiệu giãn . vải thì rất ok với giá tiền nhưng chắc vì đã có một lượng khách ổn_định nên shop không thiết_tha những khách mua lần đầu như mình . có_lẽ với shop 100 ngàn không phải là số tiền quá lớn vì một ngày đã có rất nhiều đơn lớn hơn nhưng với mình 100 ngàn không hề nhỏ . chúc shop buôn_@@ may bán đắt ngậm 100 ngàn tiền mồ_hôi_nước_mắt của em thật vui_vẻ ."
Mình 1m60 50kg mua size M hơi bé so với mình nghĩ. Nêua ai có kích cỡ như mình thì nên mua size L nha Chất mặc nóng. Nma giá rẻ nên k đòi hỏi j thêm,mình 1 m60 50 kg mua kích_cỡ mình hơi bé so với mình nghĩ . nêua ai có kích_cỡ như mình thì nên mua kích_cỡ l_nha chất_lượng mặc nóng . nhưng_mà giá rẻ nên không đòi_hỏi j thêm,1,tích cực,mình 1 m60 50 kg mua kích_cỡ mình hơi bé so với mình nghĩ . nêua ai có kích_cỡ như mình thì nên mua kích_cỡ l_nha chất_lượng mặc nóng . nhưng_mà giá rẻ nên không đòi_hỏi j thêm,mình 1 m@@ 60 50 kg mua kích_cỡ mình hơi bé so với mình nghĩ . nê@@ ua ai có kích_cỡ như mình thì nên mua kích_cỡ l@@ _nh@@ a chất_lượng mặc nóng . nhưng_mà giá rẻ nên không đòi_hỏi j thêm
