text,rating,is_spam
Đọc quá trời hay luôn á 5⭐️ Kh có ảnh nên lấy đại,5,0
"Hay nha, sẽ ủng hộ dài dài, đóng gói oki",5,0
"Nội dung gần gũi, sách đẹp, giao hàng nhanh, đóng gói cẩn thận.",5,0
"Date xa , tui rất thích .Cả 3 loại dòng LipIce Sheer Color tui xài hết rồi ,mùi nào cũng ưng.Không có gì để chê.Cảm ơn Tiki . 🌈♥️🇻🇳♥️💚💙🩵🩵🧡🩷🤍💛💛🍀🌻",5,0
"Điện thoại đag bị hư k up ảnh sản phẩm đc 🤭 nhưng Tiki gửi hàng date xa , bao bì sạch sẽ ko bụi , chống sốc đàng hoàng .Đơn hàng nhỏ nhưng chỉn chu.Cảm ơn & chúc Tiki luôn đông khách 🌈🇻🇳♥️💚💙🩵🧡🩷🤍💛🍀🌻🇻🇳",5,0
rất thích son nầy dưỡng môi không bị khô,5,0
"Sản phẩm dùng được, nhưng giáo hàng chậm 4 ngày",4,0
Duong am moi hieu qua Toi mua rat nhieu lan vi toi tin tuong Tiki shop ... Thanks Tiki ...,5,0
"Mềm môi, dưỡng ẩm tốt, màu sáng nhẹ, ưa nhìn",5,0
"Dưỡng ẩm hiệu quả, màu tự nhiên",5,0
rất đáng để mua,5,0
quá là ok,5,0
mượt môi dưỡng ẩm tốt,5,0
Son trắng cod lên hồng hồng khi thoa màu đẹp thơm nhẹ nhàn,5,0
"màu ok, các bạn đánh ít thôi kẻo một lát sẽ hồng hú hồn. Dưỡng bình thường, k tốt lắm, nhưng săn sale 10k, hài lòng.",5,0
tốt,4,0
"Đơn hàng bị giao thiếu 1sp...mùa dịch, shop cẩn thận",1,0
Tạm được son hơi dính vào vỏ,3,0
sản phẩm tốt,5,0
giao hàng nhanh,4,0
màu tự nhiên,4,0
chất lượng,5,0
Ok lắm ạ,5,0
SP tốt. YouTube đã mua?,5,0
Xài okie hàng tốt,5,0
"Giao hàng nhanh, đóng gói kĩ, mong xài lâu dài sẽ ổn",5,0
"Giao hàng nhanh, mong xài lâu dài sẽ ổn",5,0
Giá mềm,5,0
Chất lượng tốt,5,0
Màu tự nhiên đẹp. Giá quá rẻ nên không biết dùng lâu có làm thân môi không.,5,0
"Phần vặn chưa được tốt lắm, son không di chuyển theo điều chỉnh.",4,0
Sản phẩm tốt,5,0
dưỡng tốt và lại lâu trôi màu,5,0
"Giao hàng cực nhanh, sản phẩm chất lượng",5,0
Tiki giao hàng tốt và đúng hạn Hàng tặng nên mình không biết chất lượng ra sao,5,0
"cũng ok lắm sd mấy lần thôi, môi đã cải thiện rõ rệt vs lại tiki giao hàng nhanh lắm",4,0
Mình màu cam mà son ra màu hồng rất đậm,4,0
"Đầu tiên về phần vỏ rất chắc chắn k thể trừ điểm được. Nhưng điều mình quan tâm nhất về chất lượng thì em này làm mình không hài lòng. Mùi rất kì, mình ngửi như mùi đất sét. Bôi nhiều lớp lên sẽ ra màu hồng cánh sen rất dìm(nếu không tẩy da chết). Chất son giống son gió nhưng chậm hơn.để tầm 1-2h môi bắt đầu hồng choét lên trông rất sợ. Hình ảnh dưới đây là môi mình sau khi tẩy da chết và bôi lớp mỏng lên( trông không quá đáng sợ nhưng 1 tgian sau lên màu k đc đẹp) nếu như muốn mua thì bạn chỉ nên bôi ở nhà nếu không sẽ k kiểm soát đc màu son. Son này rất lì luôn ấy. Trời càng lạnh nó lên màu càng nhanh. màu mình mua là cam san hô. Hi vọng nếu như cải thiện màu son này nhà sx sẽ cho thêm nhiều đỏ hơn là hồng",2,0
"Son mềm mịn lên màu hồng tự nhiên, nên mua nha mng",5,0
"hồng tự nhiên, chất lượng ổn so với mức giá",4,0
Hàng y hình nhé mn! Màu hôi tự nhiên hơi ửng hồng!,5,0
"Mua một cây xài thử mà ưng lắm luôn. Son màu nhẹ nhàng mà lâu trôi lắm. Ăn uống các thứ mà vẫn còn hồng nhè nhẹ. Son này đi chơi thì không đủ nổi bật nhưng rất hợp để xài ở nhà, hồng nhẹ tươi tắn xinh lắm luôn. Và hôm nay lại lên đặt thêm cho 2 bà chị hihi",5,0
"Mẹ mình 60t rồi, chỉ thích dùng son này xưa giờ nên đặt lúc 2 cây tặng mẹ luôn!",5,0
hài lòng,5,0
sản phẩm ok ?,5,0
good,5,0
"Tuyệt vời ông mặt trời, giao hàng nhanh nữa",5,0
môi mình cực kì khô toàn bong mình sử dụng son tiki mà môi trở nê mềm mại hơn k bị khô và bong nữa mình rất hài lòng ???,5,0
"Dùng khá tốt, sơn thoa trên môi rất mượt",5,0
"sản phẩm đóng gói cẩn thận, giao hàng nhanh, giá tốt hơn mua ở siêu thị, cám ơn tiki",5,0
"Son dưỡng hầu như không có màu, tạm được.......................",4,0
Hhhhhhhhhhhh,4,1
xài cực kì oke luôn. son không có mùi nên rất dễ chịu,5,0
"Tôi đã dùng nhiều loại son đắt tiền rồi nhưng hay bị khô môi hoắc mẩn đỏ, nay dùng son này thấy môi rất mềm, màu hồng tự nhiên rất đẹp , từ nay sẽ thường xuyên sử dụng",5,0
đẹp càng lâu càng lên màu,5,0
thoa lên môi là có màu liền nhưng k thấy hiệu quả... thâm vẫn còn,3,0
"Son dưỡng lên màu tự nhiên Son tự nhiên, ko gây bóng nhờn, màu lên đẹp vừa ý",5,0
Màu son dep mùa cung ko nên mua,5,0
"son môi tốt, đẹp, giao hàng nhanh. Đánh lên nhìn tự nhiên mọi người nên mua",5,0
Giao hàng rat cân thận. Cho shop 5 sao,5,0
RẤT hài lòng ưng ý lắm mềm môi,5,0
"Mình mua 1 cây son thôi nhưng cũng được đựng trong hộp, nhìn rất thích",5,0
"Nhìn chung thiết kế đẹp mắt, hương thơm dịu nhẹ, son lên có màu hồng nhẹ.",4,0
đánh lên môi rất xinh ạ hương thơm dễ chịu,5,0
"Son dưỡng lên màu rất đẹp và dưỡng mềm môi, giúp tránh bị khô môi, mình rất thích Lipice",5,0
Sản phẩm tôi nhận được có mùi rất thơm,5,0
Cũng dc ??????????‍♀️???????????,3,1
"sp tốt, giao hàng khá nhanh ạ",5,0
"son lên màu rất tự nhiên, không thấy có mùi gì cả. Dưỡng ẩm tốt, thoa lên cả ngày mà không thấy bị khô môi. dùng vài ngày khi tẩy sạch thì thấy môi hồng lên chút ít.",5,0
"sản phẩm rất ưng ý ,tiki giao hàng nhanh đóng gói cẩn thận",5,0
"son mềm, không khô môi, màu tự nhiên.",5,0
Dưỡng nhưng không ẩm cho lắm,4,0
"sản phẩm tốt, lên màu đẹp, giao hàng nhanh",5,0
"Son dưỡng có màu nhẹ nhàng, tự nhiên. Thơm mùi dâu",5,0
"Nếu bạn muốn dưỡng môi thì mua loại k màu k mùi,loại này vừa dưỡng vừa có màu,màu Hồng tự nhiên.thoa đi đâu môi Hồng tự nhiên nhưng nếu có ý mua một loại dưỡng chống thâm môi thì bạn hãy lựa chọn thương hiệu khác,cái này là son có lên màu Hồng nha.",3,0
"giao hàng nhanh hơn dự kiến, mùi thơm dễ chịu",4,0
"It is the product of LipIce, and the commodities are the original. The quality of the products is very good, and the price is reasonable. Very good!",5,0
"son dùng ok, bn mik rất thích bóng, đẹp giao hàng nhanh",5,0
"Lên màu tự nhiên, dịch vụ giao hàng nhanh, sớm hơn dự kiến",5,0
"sản phẩm đúng với hình, thơm, giao hàng nhanh hơn dự kiến.",5,0
đánh son 1 chập màu lên đậm lắm lun. hồng cam mà chỉ thấy hồng. k phù hợp voi minh. thích trang điểm nhẹ,3,0
mình nhận được hàng rồi hàng giống hình nhìn đẹp mình rất ung y cảm ơn shop nha,4,0
Là màu pink hơm có cam. Nhưng mà màu truyền thống son gió đó giờ mình xài vậy r. Nên vẫn thích.,4,0
"Son bám lâu trôi, màu tự nhiên, làm mướt môi, giữ mềm môi trong thời gian dài",5,0
Đánh 1 hồi vẫn bị khô môi và cảm thấy còn nghiêm trọng hơn khi chưa dùng,2,0
mình nhận được hàng rất thích sp ? sẽ luôn ủng hộ mong tiki có nhiều hàng chuẩn,5,0
"Giao hàng nhanh, đóng gói kỹ càng,rất vừa ý.......",4,0
"Son dùng rất tốt, lên màu nhẹ, phù hợp với những người thích trang điểm nhẹ. giúp giảm khô môi sau vài lần sử dụng",5,0
sp đẹp lắm đóng gói kĩ càng nhân viên nhiệt tình,5,0
Sản phẩm son hơi bị rích khi sơn môi.Khó sử dụng màu son không giống như miêu tả trên hình,3,0
Mọi người lưu ý son khi đánh lên môi sẽ thiên về màu hồng nhiều hơn nhé. Sản phẩm dưỡng tốt,5,0
Có hiệu quả trị gàu Tốt nhưng lại làm khô tóc và tôi cũng đang nghi ngờ sản phẩm vừa trị gàu vừa có các thành phần hoá học khác kích thích gàu phát triển trở lại nhanh hơn nên dùng thường xuyên thì tóc sẽ khô mà ngưng thì gàu lại xuất hiện nhiều hơn cả trước khi chưa từng dùng qua sản phẩm.,3,0
Đúng mẫu mã chất lượng phải đợi dùng thử,5,0
"Sp tốt chất lượng,đóng gói ổn còn hiệu quả thì đợi sau khi sử dụng nếu tốt sẽ ủng hộ tiếp",5,0
H mik mua xài lại rất là ok,5,0
"Chưa sd nhưng vẫn cho shop 5* , giao hàng nhanh đóng gói cẩn thận",5,0
nice,5,0
Mới dùng chưa biết td,5,0
"Giao hàng nhanh, gội sạch, nhưng KHÔNG HẾT GÀU",5,0
Công dụng thật tuyệt vời,5,0
Sạch gầu mùi hương nhẹ rất tốt,5,0
Làm sạch hiệu quả,5,0
"Dầu gội chất lượng,rất tuyệt vời rất ok",5,0
Good,5,0
Sản phẩm chất lượng. Mình mới gội 1 lần đã thấy hết ngứa. Hy vọng sử dụng thêm nhiều lần sẽ cải thiện các vết đỏ do gàu.,5,0
"Mình chưa dùng nhưng hy vọng hết gàu, nắp hàng bị sút phân nửa thấy dc mọi thứ bên trong, lần này tiki gói hàng kém quá",5,0
Dầu gội quá tốt gội mà hết ngứa da đầu cho shop 5 sao,5,0
Gôd,5,0
"giao hàng nhanh, vì chưa xài nên chưa biết kết quả như thế nào",5,0
Mùi hương thơm dịu. Sạch gàu. Date xa,5,0
Xài nhiều lần. Rất tốt,5,0
Chính sách càng ngày càng tệ,1,0
"dầu gội giảm ngứa da đầu ,tóc không khô, dao hàng nhanh .",5,0
"Không gây khô tóc, Sachs gaug",5,0
Ổn giao nhanh sẽ mua tiếp khi cần,5,0
"Mùi dễ chịu , không gây khô tóc",5,0
giao nhanh.mình từng sài rồi hết ngứa và gàu. ngưng xài thì gàu trở lại nha,4,0
Oki,5,0
"Dầu gội Selsun trị gàu rất tốt, không còn nỗi lo về gàu khi mùa hè nóng nực đến, cách 2, 3 ngày mình mới gội đầu lại vẫn không lo gàu sẽ xuất hiện lại nữa, mình rất hài lòng về sản phẩm nha, hihi, giao hàng lại rất nhanh chóng nữa, cảm ơn Selsun và Tiki nhé! Mọi người nên mua sản phẩm này nha! 10 điểm cho chất lượng!",5,0
sử dụng rất tốt,5,0
"sản phẩm rất tuyệt, dùng rất ok nè, tiki hiao hàng cực nhanh, đóng gói cẩn thận, sẽ ủng hộ tiki nhìu nè",5,0
sản phẩm ok. giao hàng nhanh. Thanks shop,5,0
Oke,5,0
"sản phẩm rất ok, tiki giao hàng nhanh, đóng gói kỹ càng, mình mua tiki rất nhìu lần và lần nào cũng hài lòng cả",5,0
"Selsun là tốt rồi, không có gì phải bàn nữa.",5,0
trị gàu thật suất sắc,5,0
ok good,5,0
Quá tuyệt vời,5,0
gud,5,0
"Đóng gói chắc chắn, Tiki giao nhanh",5,0
"giao hàng nhanh, đúng phân loại sản phẩm, người nhà dùng đều thích, lần sau sẽ mua lại",5,0
"dùng ok lắm nha, dùng thấy đỡ gàu hẳn. mình mua lại lần 2 để thi thoảng gội tránh gàu quay lại",5,0
