img1,img2,distance
..\image_labeling\data\labeled\damaged\frames_98836109dc6c_img3.jpg,..\image_labeling\data\labeled\intact\frames_ed7836383cdb_img3.jpg,0
..\image_labeling\data\labeled\damaged\frames_9ecec44df5c0_img3.jpg,..\image_labeling\data\labeled\intact\frames_2c77b2c954f9_img3.jpg,10
..\image_labeling\data\labeled\damaged\raw_media_17d8753c70c0_img2.jpg,..\image_labeling\data\labeled\damaged\raw_media_d5a94d9420d3_img2.jpg,0
..\image_labeling\data\labeled\damaged\raw_media_1db3d57efaab_img2.jpg,..\image_labeling\data\labeled\damaged\raw_media_d69125e0226e_img2.jpg,0
..\image_labeling\data\labeled\damaged\raw_media_98836109dc6c_img2.jpg,..\image_labeling\data\labeled\damaged\raw_media_ed7836383cdb_img2.jpg,0
..\image_labeling\data\labeled\damaged\raw_media_9ecec44df5c0_img2.jpg,..\image_labeling\data\labeled\intact\raw_media_2c77b2c954f9_img2.jpg,0
..\image_labeling\data\labeled\damaged\raw_media_9ecec44df5c0_img3.jpg,..\image_labeling\data\labeled\intact\raw_media_2c77b2c954f9_img3.jpg,0
..\image_labeling\data\labeled\damaged\raw_media_d6e5598ca20d_img1.jpg,..\image_labeling\data\labeled\damaged\raw_media_d6e5598ca20d_img2.jpg,2
..\image_labeling\data\labeled\damaged\raw_media_d6e5598ca20d_img1.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_42e0183f69f8_img1.jpg,10
..\image_labeling\data\labeled\damaged\raw_media_d6e5598ca20d_img1.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_42e0183f69f8_img2.jpg,10
..\image_labeling\data\labeled\damaged\raw_media_d6e5598ca20d_img2.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_42e0183f69f8_img1.jpg,10
..\image_labeling\data\labeled\damaged\raw_media_d6e5598ca20d_img2.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_42e0183f69f8_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_0008c1a0f90f_img1.jpg,..\image_labeling\data\labeled\intact\frames_0008c1a0f90f_img2.jpg,6
