"text","rating","date","image_urls","product_url","scraped_at"
"Thưởng thức từng giọt cà phê với hương vị đậm đà thơm ngon,sảng khoái và tràn đầy năng lượng,cà phê Trung Nguyên thành phần chất lượng cao, hương Việt đích thực","5","1 week ago","https://lazvideo.lazcdn.com/psp/20260407/61b33a2f-3b16-4bcf-92e0-f7929b467bb6@@ld.mp4?auth_key=1776782300-0-0-da81ba737c2511d06833a26782c5424b|https://lzd-u.slatic.net/b6a0611c3fcf4651818b66124719b119_6b214cad4a174538b90f951fc2d3b81d.jpg","https://www.lazada.vn/products/trung-nguyen-legend-ca-phe-rang-xay-sang-tao-1-bich-340gr-i353468040-s578424935.html","2026-04-14T21:41:46.171397"
"Hương vị đậm đà và táo bạo!, Hạt cà phê chất lượng cao., Lựa chọn tuyệt vời để tăng cường buổi sáng., Một cách tuyệt vời để bắt đầu ngày mới., Hoàn hảo cho những người yêu cà phê, Hương vị mượt mà và thỏa mãn, Bao bì tiện lợi để giữ độ tươi., Hương thơm dễ chịu.,","5","2 weeks ag","https://lazvideo.lazcdn.com/psp/20260328/b910731f-a3c7-4249-a349-bdc060ff2be7@@ld.mp4?auth_key=1776782300-0-0-ed82bae1acedd11dc846b3a0a0658fcb|https://lzd-u.slatic.net/df3b531f79e74766a17b1ebea874fe4a_605eb39250ee4aba8a4e5667e99becfa.jpg|https://lzd-u.slatic.net/df3b531f79e74766a17b1ebea874fe4a_517e25b2661e449b8af70271e6e77f03.jpg|https://lzd-u.slatic.net/df3b531f79e74766a17b1ebea874fe4a_ea7db5a7d2fe433893da18b53cec97b0.jpg|https://lzd-u.slatic.net/df3b531f79e74766a17b1ebea874fe4a_aa06500c3dd44904be2e12f9c29306fe.jpg","https://www.lazada.vn/products/trung-nguyen-legend-ca-phe-rang-xay-sang-tao-1-bich-340gr-i353468040-s578424935.html","2026-04-14T21:41:46.171553"
"rẻ vì ap dc vouchers trừ tiền laz","5","3 weeks ag","https://lazvideo.lazcdn.com/psp/20260326/160b46f7-c14b-4ef1-9c38-6cd4e4299168@@ld.mp4?auth_key=1776782300-0-0-116635abc13a558bce4f8bbf37b97e6c|https://lzd-u.slatic.net/5ffddf7577024b15ad55aafc08d75c70_2_1774533327.093366.jpg","https://www.lazada.vn/products/trung-nguyen-legend-ca-phe-rang-xay-sang-tao-1-bich-340gr-i353468040-s578424935.html","2026-04-14T21:41:46.171588"
"Thức uống cafe hoàn hảo cho những người yêu cà phê,, bao bì tiện lợi để giữ độ ẩm không bị mất mùi vị. Sản phẩm tôi thường xuyên mua cho gia đình và bạn bè","5","3 weeks ag","https://lazvideo.lazcdn.com/psp/20260322/10e97e90-00bf-40ad-ad42-ca6974950fab@@ld.mp4?auth_key=1776782300-0-0-cde48c319cfb0b8df4e9df272193d422|https://lzd-u.slatic.net/9ec713fa52994ce3989d07974b55396e_d3cab586eeeb4e2d997dc090bcdf3c8f.jpg|https://lzd-u.slatic.net/9ec713fa52994ce3989d07974b55396e_e211ad6b128d4f25a080865c709c4d41.jpg","https://www.lazada.vn/products/trung-nguyen-legend-ca-phe-rang-xay-sang-tao-1-bich-340gr-i353468040-s578424935.html","2026-04-14T21:41:46.171613"
"Hương thơm dễ chịu., Một cách tuyệt vời để bắt đầu ngày mới., Hạt cà phê chất lượng cao.,","5","2025-07-28","https://lazvideo.lazcdn.com/psp/20250728/be7e23b9-6240-4e7e-9e91-fa10e11ad3b2@@ld.mp4?auth_key=1776782300-0-0-37b80a532b1297ae4391c8cd14883616|https://lzd-u.slatic.net/21e9c50590b14b3aa0c80ea7317efabe_9c9fbc9a51b44457804f3a1129dd17b7.jpg","https://www.lazada.vn/products/trung-nguyen-legend-ca-phe-rang-xay-sang-tao-1-bich-340gr-i353468040-s578424935.html","2026-04-14T21:41:46.171633"
"Hương vị mượt mà và thỏa mãn, Hạt cà phê chất lượng cao., Hàm lượng caffeine cao để tăng cường năng lượng, Một cách tuyệt vời để bắt đầu ngày mới., Hoàn hảo cho những người yêu cà phê, Lựa chọn tuyệt vời để tăng cường buổi sáng., Hương thơm dễ chịu.,","5","2026-03-10","https://lazvideo.lazcdn.com/psp/20260310/8658be1b-1dc6-45a3-88fa-bfb737c463ef@@ld.mp4?auth_key=1776782336-0-0-a9197c57e820060732ccf79d26650ee8|https://lzd-u.slatic.net/0204f638a9004457ac0f1652ae032a98_544ecaa99edd41ef81ec47b80647dc89.jpg","https://www.lazada.vn/products/trung-nguyen-legend-ca-phe-rang-xay-sang-tao-1-bich-340gr-i353468040-s578424935.html","2026-04-14T21:41:46.171659"
"Hương vị mượt mà và thỏa mãn,","5","2026-03-02","https://lazvideo.lazcdn.com/psp/20260302/5bc96c15-814e-42cd-b082-f0c1ba5ffa08@@ld.mp4?auth_key=1776782336-0-0-ec317ffb23914b4d0294382dedb83da9|https://lzd-u.slatic.net/8aba5720d52c4565bfb977a2d0d84f03_aa51521204e84e9d96e128f2baf9ae30.jpg","https://www.lazada.vn/products/trung-nguyen-legend-ca-phe-rang-xay-sang-tao-1-bich-340gr-i353468040-s578424935.html","2026-04-14T21:41:46.171675"
"Hàm lượng caffeine cao để tăng cường năng lượng, Hương vị đậm đà và táo bạo!, Hoàn hảo cho những người yêu cà phê, Hạt cà phê chất lượng cao.,","5","2026-02-10","https://lazvideo.lazcdn.com/psp/20260210/3958fb9f-3514-4ecc-b4c8-e5b828d2012a@@ld.mp4?auth_key=1776782336-0-0-1313913159068fa9ffb4770a423dc0a7|https://lzd-u.slatic.net/efcc6f90c96044eba9a5f668798790be_1_1770733955.756936.jpg","https://www.lazada.vn/products/trung-nguyen-legend-ca-phe-rang-xay-sang-tao-1-bich-340gr-i353468040-s578424935.html","2026-04-14T21:41:46.171699"
"High caffeine content for an energy boost., High-quality coffee beans., Smooth and satisfying taste.,","5","2026-02-05","https://lazvideo.lazcdn.com/psp/20260205/a0d6edb5-6663-4230-9ee9-799bee63c269@@ld.mp4?auth_key=1776782336-0-0-db9e1dd9f9e91051c2b600b0ca87cee9|https://lzd-u.slatic.net/12b163cefd1b4d859f29d5a7c099c754_4_1770291754.693680.jpg|https://lzd-u.slatic.net/12b163cefd1b4d859f29d5a7c099c754_5_1770291754.807071.jpg","https://www.lazada.vn/products/trung-nguyen-legend-ca-phe-rang-xay-sang-tao-1-bich-340gr-i353468040-s578424935.html","2026-04-14T21:41:46.171716"
"Cà phê thơm ngon béo đậm vị đã mua nhiều lần rồi. Giao hàng nhanh đóng gói ổn . Mua để trộn bán và uống đều được.","5","2026-02-08","https://lazvideo.lazcdn.com/psp/20260208/926c4b3b-e7f2-4d08-b964-8db0401d1a29@@ld.mp4?auth_key=1776782336-0-0-694619c7834acbff8831403f71cdaed4|https://lzd-u.slatic.net/42454b38755540e09cfbe83c5086a6c8_61951ca03d654f30aad2a20c93f4a932.jpg|https://lzd-u.slatic.net/42454b38755540e09cfbe83c5086a6c8_b26ccc44fc814af382d9507595cfa5a9.jpg","https://www.lazada.vn/products/trung-nguyen-legend-ca-phe-rang-xay-sang-tao-1-bich-340gr-i353468040-s578424935.html","2026-04-14T21:41:46.171735"
