"product_name","text","rating","date","image_urls","product_url","scraped_at"
"[ HOT ] COMPO 10 Ốc Salaya 5li, 6li1, 6li15 Inox 304 Mẫu Thái Kèm Lông Đền Kitaco","Không cho kiểm hàng. Khi xem thì ốc không lọt vô khe long đền. Shop làm ăn cẩu thả. Không đáng nhưng mất thời gian","1","2024-03-23","https://cf.shopee.vn/file/vn-11134103-7r98o-lt7mva00c49ld5|https://cf.shopee.vn/file/vn-11134103-7r98o-lt7mv9zzwo0p54","https://shopee.vn/-HOT-COMPO-10-%E1%BB%90c-Salaya-5li-6li1-6li15-Inox-304-M%E1%BA%ABu-Th%C3%A1i-K%C3%A8m-L%C3%B4ng-%C4%90%E1%BB%81n-Kitaco-i.114067592.15055331754","2026-05-24T08:25:34.593377"
"[ HOT ] COMPO 10 Ốc Salaya 5li, 6li1, 6li15 Inox 304 Mẫu Thái Kèm Lông Đền Kitaco","Shop lỏx mua 10cai ốc, mà giao 9cai ốc 🐌, shop uy tính1₫","1","2025-01-30","","https://shopee.vn/-HOT-COMPO-10-%E1%BB%90c-Salaya-5li-6li1-6li15-Inox-304-M%E1%BA%ABu-Th%C3%A1i-K%C3%A8m-L%C3%B4ng-%C4%90%E1%BB%81n-Kitaco-i.114067592.15055331754","2026-05-24T08:25:34.595288"
"[ HOT ] COMPO 10 Ốc Salaya 5li, 6li1, 6li15 Inox 304 Mẫu Thái Kèm Lông Đền Kitaco","Tưởng giao nguyên con 6 ốc chứ","1","2025-05-28","","https://shopee.vn/-HOT-COMPO-10-%E1%BB%90c-Salaya-5li-6li1-6li15-Inox-304-M%E1%BA%ABu-Th%C3%A1i-K%C3%A8m-L%C3%B4ng-%C4%90%E1%BB%81n-Kitaco-i.114067592.15055331754","2026-05-24T08:25:34.595340"
"[ HOT ] COMPO 10 Ốc Salaya 5li, 6li1, 6li15 Inox 304 Mẫu Thái Kèm Lông Đền Kitaco","Mua ốc với long đền mà gửi long đền không à.","1","2023-03-08","https://cf.shopee.vn/file/vn-11134103-23030-ztxe7jb6aeovb8","https://shopee.vn/-HOT-COMPO-10-%E1%BB%90c-Salaya-5li-6li1-6li15-Inox-304-M%E1%BA%ABu-Th%C3%A1i-K%C3%A8m-L%C3%B4ng-%C4%90%E1%BB%81n-Kitaco-i.114067592.15055331754","2026-05-24T08:25:34.595371"
"[ HOT ] COMPO 10 Ốc Salaya 5li, 6li1, 6li15 Inox 304 Mẫu Thái Kèm Lông Đền Kitaco","Đúng với mô tả:đẹp Chất lượng sản phẩm:tốt","1","2025-04-19","","https://shopee.vn/-HOT-COMPO-10-%E1%BB%90c-Salaya-5li-6li1-6li15-Inox-304-M%E1%BA%ABu-Th%C3%A1i-K%C3%A8m-L%C3%B4ng-%C4%90%E1%BB%81n-Kitaco-i.114067592.15055331754","2026-05-24T08:25:34.595406"
"[ HOT ] COMPO 10 Ốc Salaya 5li, 6li1, 6li15 Inox 304 Mẫu Thái Kèm Lông Đền Kitaco","Đặc 5 con giao 3 com chịu rồi","1","2023-12-27","https://cf.shopee.vn/file/vn-11134103-7r98o-lpruo41xfynre0","https://shopee.vn/-HOT-COMPO-10-%E1%BB%90c-Salaya-5li-6li1-6li15-Inox-304-M%E1%BA%ABu-Th%C3%A1i-K%C3%A8m-L%C3%B4ng-%C4%90%E1%BB%81n-Kitaco-i.114067592.15055331754","2026-05-24T08:25:34.595430"
"[ HOT ] COMPO 10 Ốc Salaya 5li, 6li1, 6li15 Inox 304 Mẫu Thái Kèm Lông Đền Kitaco","mẹ shop bịp đặt 4 ốc salaza lông đền đỏ ship 4 lông đền","1","2023-04-15","https://cf.shopee.vn/file/vn-11134103-7qukw-lfm73g4jrq8471","https://shopee.vn/-HOT-COMPO-10-%E1%BB%90c-Salaya-5li-6li1-6li15-Inox-304-M%E1%BA%ABu-Th%C3%A1i-K%C3%A8m-L%C3%B4ng-%C4%90%E1%BB%81n-Kitaco-i.114067592.15055331754","2026-05-24T08:25:34.595453"
"[ HOT ] COMPO 10 Ốc Salaya 5li, 6li1, 6li15 Inox 304 Mẫu Thái Kèm Lông Đền Kitaco","Đúng với mô tả:đúng đm méo Chất lượng sản phẩm:5 cái đc có 3 cái ốc là sao ??","1","2024-09-19","","https://shopee.vn/-HOT-COMPO-10-%E1%BB%90c-Salaya-5li-6li1-6li15-Inox-304-M%E1%BA%ABu-Th%C3%A1i-K%C3%A8m-L%C3%B4ng-%C4%90%E1%BB%81n-Kitaco-i.114067592.15055331754","2026-05-24T08:25:34.595488"
"[ HOT ] COMPO 10 Ốc Salaya 5li, 6li1, 6li15 Inox 304 Mẫu Thái Kèm Lông Đền Kitaco","mua 8 con giao 6 con","1","2024-10-29","https://cf.shopee.vn/file/vn-11134103-7ras8-m1y2k634xzvifb|https://cf.shopee.vn/file/vn-11134103-7ras8-m1y2k634zefy4b|https://cf.shopee.vn/file/vn-11134103-7ras8-m1y2k6356fa6da|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7ras8-m1y2n2fqa2zfe4","https://shopee.vn/-HOT-COMPO-10-%E1%BB%90c-Salaya-5li-6li1-6li15-Inox-304-M%E1%BA%ABu-Th%C3%A1i-K%C3%A8m-L%C3%B4ng-%C4%90%E1%BB%81n-Kitaco-i.114067592.15055331754","2026-05-24T08:25:34.595523"
"[ HOT ] COMPO 10 Ốc Salaya 5li, 6li1, 6li15 Inox 304 Mẫu Thái Kèm Lông Đền Kitaco","Đúng với mô tả:đúng Chất lượng sản phẩm:tệ Ốc kg bỏ vô lông đền đc, tệ quá","1","2025-05-21","","https://shopee.vn/-HOT-COMPO-10-%E1%BB%90c-Salaya-5li-6li1-6li15-Inox-304-M%E1%BA%ABu-Th%C3%A1i-K%C3%A8m-L%C3%B4ng-%C4%90%E1%BB%81n-Kitaco-i.114067592.15055331754","2026-05-24T08:25:34.595559"
