"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ","Chất vải ổn về giá, nhưng from quá rộng áo size S mà đứa m58 như mk mang trùm cả mông + với việc lần nào nhận áo cũng có vài vết bẩn như hàng qua sử dụng, lần đầu cũng như lần cuối trải nghiệm","1","2024-04-06","https://cf.shopee.vn/file/vn-11134103-7r98o-ltroyasvyccta3|https://cf.shopee.vn/file/vn-11134103-7r98o-ltroyaswt8ul00|https://cf.shopee.vn/file/https://down-aka-vn.img.susercontent.com/vn-11110103-7r98o-ltrtkjf1qggm8f","https://shopee.vn/%C3%81o-Thun-Tr%C6%A1n-Cotton-250gsm-GODMOTHER-Premium-Full-Color-C%E1%BB%95-Tr%C3%B2n-Nam-N%E1%BB%AF-i.703090265.19787998337","2026-05-24T08:14:07.279727"
"Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ","cái size L hàng sịn to bằng cái size M hàng thường. tôi mua cái size m hàng thường trước và bị chật nên mua thêm 1 cái size L hàng sịn và cái kết là 2 cái to bằng nhau , thành ra vứt bỏ cả 2 cái không mặc luôn.","1","2026-01-03","https://cf.shopee.vn/file/vn-11134103-820l4-mj1g7f495seb8c|https://cf.shopee.vn/file/vn-11134103-820l4-mj1g7f5jij2fc6","https://shopee.vn/%C3%81o-Thun-Tr%C6%A1n-Cotton-250gsm-GODMOTHER-Premium-Full-Color-C%E1%BB%95-Tr%C3%B2n-Nam-N%E1%BB%AF-i.703090265.19787998337","2026-05-24T08:14:07.279830"
"Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ","Lúc đầu mua cái trắng thấy đẹp mua thêm cái kem. Mở ra thử thì fom đẹp lắm mà đem đi giặt chuẩn bi mặc thì thấy sao nhỏ xíu. Lấy thước đo lại ngang áo còn có 51cm. Size m ngang áo 56cm giặt xong còn 51cm. Vải rút kinh khủng. Nhìn cái áo chán đời ko muốn ngó tới","1","2024-08-20","https://cf.shopee.vn/file/vn-11134103-7r98o-lz69uug3bxr5cb","https://shopee.vn/%C3%81o-Thun-Tr%C6%A1n-Cotton-250gsm-GODMOTHER-Premium-Full-Color-C%E1%BB%95-Tr%C3%B2n-Nam-N%E1%BB%AF-i.703090265.19787998337","2026-05-24T08:14:07.279871"
"Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ","Màu sắc:xau Đúng với mô tả:khong Áo sau khi giặt đúng 1 lần đã bị nhăn và co áo đến 6-7 cm Mặc dù đã đổi áo mà nhận được áo mới vẫn chất liệu và bị nhăn như áo cũ, không thể nào mặc được nữa do ngắn Shop nên xem lại chất lượng áo","1","2023-10-01","https://cf.shopee.vn/file/vn-11134103-7r98o-lmbmamtq7ba777|https://cf.shopee.vn/file/https://down-aka-vn.img.susercontent.com/vn-11110103-7r98o-lmbmauct6yozb9","https://shopee.vn/%C3%81o-Thun-Tr%C6%A1n-Cotton-250gsm-GODMOTHER-Premium-Full-Color-C%E1%BB%95-Tr%C3%B2n-Nam-N%E1%BB%AF-i.703090265.19787998337","2026-05-24T08:14:07.279908"
"Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ","Chất liệu:binh thuong Đúng với mô tả:80% Màu sắc:kem Giao hàng thật sự lâu, vải thì được nhưng mới giặt 1 lần mà đã nhàu","1","2023-05-17","","https://shopee.vn/%C3%81o-Thun-Tr%C6%A1n-Cotton-250gsm-GODMOTHER-Premium-Full-Color-C%E1%BB%95-Tr%C3%B2n-Nam-N%E1%BB%AF-i.703090265.19787998337","2026-05-24T08:14:07.279939"
"Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ","Đây là cái áo thứ 2 mình mua, đợt trước mình mua xanh navi. Giặt cả 2 áo đều ra xơ vải và dính xơ vải vào người. Lúc tắm mình lấy bông tẩy trang lau ra người ra xơ vải áo luôn. Nếu shop 0 cải thiện chất lượng áo thì thực sự khuyên mọi người 0 nên mua vì mặc lâu da sẽ dễ bị kích ứng nhất là với những bạn da nhạy cảm.","1","2024-10-11","","https://shopee.vn/%C3%81o-Thun-Tr%C6%A1n-Cotton-250gsm-GODMOTHER-Premium-Full-Color-C%E1%BB%95-Tr%C3%B2n-Nam-N%E1%BB%AF-i.703090265.19787998337","2026-05-24T08:14:07.279979"
"Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ","Màu sắc:đen Áo mới mua mặc được 4-5 lần thì bị rách ngay cổ, ban đầu giặt còn bị đổ lông, thua xa các brand khác cùng mức giá. Tệ","1","2024-10-25","","https://shopee.vn/%C3%81o-Thun-Tr%C6%A1n-Cotton-250gsm-GODMOTHER-Premium-Full-Color-C%E1%BB%95-Tr%C3%B2n-Nam-N%E1%BB%AF-i.703090265.19787998337","2026-05-24T08:14:07.280006"
"Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ","Chất liệu:Đẹp Màu sắc:đúng Đúng với mô tả:đúg Hàng bị có rút và ko đc đổi trả ko nên mua","1","2023-07-07","https://cf.shopee.vn/file/https://down-aka-vn.img.susercontent.com/vn-11110103-23070-m5rcexwl27sv64","https://shopee.vn/%C3%81o-Thun-Tr%C6%A1n-Cotton-250gsm-GODMOTHER-Premium-Full-Color-C%E1%BB%95-Tr%C3%B2n-Nam-N%E1%BB%AF-i.703090265.19787998337","2026-05-24T08:14:07.280034"
"Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ","Áo giặt 1 lần co từ size XL chắc xuống còn size M. Nhắn shop thì giải quyết lòng vòng rất mất thời gian của khách","1","2025-03-28","https://cf.shopee.vn/file/vn-11134103-7ra0g-m7wgoukbwvou93","https://shopee.vn/%C3%81o-Thun-Tr%C6%A1n-Cotton-250gsm-GODMOTHER-Premium-Full-Color-C%E1%BB%95-Tr%C3%B2n-Nam-N%E1%BB%AF-i.703090265.19787998337","2026-05-24T08:14:07.280061"
"Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ","Chất liệu:cotton Vải cũng đc, tuy nhiên vấn đề nằm ở đường may ở cổ, mới mặc được 1 lần và giặt mà chỗ đường may đã bị rách, thủng (ý là mình cho vào túi giặt rồi), trải nghiệm hơi tệ mới mặc 1 lần mà bị vậy rồi.:(((( (ảnh chụp thấy nhỏ nhưng thực tế còn tệ hơn)","1","2024-08-12","https://cf.shopee.vn/file/vn-11134103-7r98o-lzag4mpuyrf1b0|https://cf.shopee.vn/file/vn-11134103-7r98o-lzag4mqexyg10f|https://cf.shopee.vn/file/https://down-aka-vn.img.susercontent.com/vn-11110103-7r98o-lyurmtcfna8x81","https://shopee.vn/%C3%81o-Thun-Tr%C6%A1n-Cotton-250gsm-GODMOTHER-Premium-Full-Color-C%E1%BB%95-Tr%C3%B2n-Nam-N%E1%BB%AF-i.703090265.19787998337","2026-05-24T08:14:07.280092"
