"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","Đúng với mô tả:đúng Chất liệu:tốt Màu sắc:đen Đánh giá mang tính chất nhận xu, nói chung với giá tiền như này là quá xịn xò rồi, ủng hộ shop ạ","1","2023-10-05","","https://shopee.vn/%C3%81o-thun-nam-th%E1%BB%83-thao-t%E1%BA%ADp-Gym-Tennis-Pickleball-Coolmate-Basics-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-nhanh-kh%C3%B4-i.24710134.10280321597","2026-05-24T08:17:40.273531"
"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","Thấm hút:Thấm hút tốt Vật liệu:Vải polyester Độ bền:Chưa biết Shop đóng gói kĩ, giao hàng nhanh.","1","2026-04-15","","https://shopee.vn/%C3%81o-thun-nam-th%E1%BB%83-thao-t%E1%BA%ADp-Gym-Tennis-Pickleball-Coolmate-Basics-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-nhanh-kh%C3%B4-i.24710134.10280321597","2026-05-24T08:17:40.273595"
"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","Áo thì đẹp mà sao mới mặc đã bung lông vậy thất vọng tràn trề :((((","1","2025-05-23","https://cf.shopee.vn/file/vn-11134103-7ra0g-ma3jmfvq1wyi7b","https://shopee.vn/%C3%81o-thun-nam-th%E1%BB%83-thao-t%E1%BA%ADp-Gym-Tennis-Pickleball-Coolmate-Basics-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-nhanh-kh%C3%B4-i.24710134.10280321597","2026-05-24T08:17:40.273623"
"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","Đường may mũi chỉ quá tệ, chất lượng Coolmate ngày càng đi xuống. Nên chú ý khâu gia công","1","2024-06-02","https://cf.shopee.vn/file/vn-11134103-7r98o-lw0xuqoo90bff7|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7r98o-lw0xwukl64ys84","https://shopee.vn/%C3%81o-thun-nam-th%E1%BB%83-thao-t%E1%BA%ADp-Gym-Tennis-Pickleball-Coolmate-Basics-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-nhanh-kh%C3%B4-i.24710134.10280321597","2026-05-24T08:17:40.273652"
"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","Màu sắc:đen Chất liệu:vải tái chế Đúng với mô tả:đúng Áo mỏng nên nhanh khô, bụi vải nhiều điểm chung của áo coolmate từ đắt đến rẻ tiền đều thế. Để 1 sao cho mn ngại bẩn ngứa từ bụi vải chứ chất lượng áo vẫn ok","1","2023-06-14","https://cf.shopee.vn/file/vn-11134103-7qukw-li0dmpz4i9ol42|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-23060-93xh1vj5oasv30","https://shopee.vn/%C3%81o-thun-nam-th%E1%BB%83-thao-t%E1%BA%ADp-Gym-Tennis-Pickleball-Coolmate-Basics-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-nhanh-kh%C3%B4-i.24710134.10280321597","2026-05-24T08:17:40.273683"
"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","Quần thì bận ổn, thoáng mát, giặt nhanh khô. Nhưng áo thì khi giao đến có dính chất nhờn gì đó rất hôi, giặt 2 lần mà vẫn còn mùi khó chịu để lại.","1","2023-03-06","","https://shopee.vn/%C3%81o-thun-nam-th%E1%BB%83-thao-t%E1%BA%ADp-Gym-Tennis-Pickleball-Coolmate-Basics-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-nhanh-kh%C3%B4-i.24710134.10280321597","2026-05-24T08:17:40.273708"
"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","Chất vải cực kì tệ. Áo thể thao của ny mình rất nhẹ và thoáng mát. Áo này nhẹ thật nhưng chất vải nóng, mặc ngứa. Không đáng tiền. Coi vid mình quay sẽ thấy được chất lượng vải.","1","2023-11-13","https://cf.shopee.vn/file/vn-11134103-7r98o-lo1cx05xw12y87|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7r98o-lo1cxgu3i4rxa9","https://shopee.vn/%C3%81o-thun-nam-th%E1%BB%83-thao-t%E1%BA%ADp-Gym-Tennis-Pickleball-Coolmate-Basics-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-nhanh-kh%C3%B4-i.24710134.10280321597","2026-05-24T08:17:40.273734"
"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","Nói 4 áo 4 màu mà 4 cái 1 màu. Mua 4 cái chẳng nhẽ chọn 4 lần. Mất thời gian.","1","2023-03-15","","https://shopee.vn/%C3%81o-thun-nam-th%E1%BB%83-thao-t%E1%BA%ADp-Gym-Tennis-Pickleball-Coolmate-Basics-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-nhanh-kh%C3%B4-i.24710134.10280321597","2026-05-24T08:17:40.273755"
"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","Chất liệu:vải rất xấu Màu sắc:đúng Đúng với mô tả:áo xấu Chất vải xấu lắm trời áo nhìn xuyên qua được luôn má ơi giá cũng không rẻ mà vải không thể nói được luôn rờ vào thấy không êm miếng nào mặc vào khó chịu cho da nói chung là tệ","1","2023-10-12","https://cf.shopee.vn/file/vn-11134103-7r98o-lmr1neh6dnmn6e|https://cf.shopee.vn/file/vn-11134103-7r98o-lmr1nehgd8tbd1|https://cf.shopee.vn/file/vn-11134103-7r98o-lmr1negmegv300|https://cf.shopee.vn/file/vn-11134103-7r98o-lmr1neh6dnfj5b|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7r98o-lmr1p44w5ptt65","https://shopee.vn/%C3%81o-thun-nam-th%E1%BB%83-thao-t%E1%BA%ADp-Gym-Tennis-Pickleball-Coolmate-Basics-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-nhanh-kh%C3%B4-i.24710134.10280321597","2026-05-24T08:17:40.273782"
"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","Đúng với mô tả:ko Chất lượng sản phẩm:dc dặn shop là cho vào hộp để đem tặng mà ko cho, xứng đáng 1* nhé. Mình dễ tính nhưng đã dặn mà ko chú ý thì ko bh đc 5*","1","2024-07-17","https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7r98o-lxtfhuvj9xw9f2","https://shopee.vn/%C3%81o-thun-nam-th%E1%BB%83-thao-t%E1%BA%ADp-Gym-Tennis-Pickleball-Coolmate-Basics-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-nhanh-kh%C3%B4-i.24710134.10280321597","2026-05-24T08:17:40.273808"
