"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Đèn Led Gắn Van Xe 1 cái","Đúng với mô tả:đúng Chất lượng sản phẩm:Lúc lên đèn lúc k:)","1","2023-10-17","https://cf.shopee.vn/file/vn-11134103-7r98o-lmyhpemsjx7jae|https://cf.shopee.vn/file/vn-11134103-7r98o-lmyhpemsiin357|https://cf.shopee.vn/file/vn-11134103-7r98o-lmyhpemsiifz7f","https://shopee.vn/%C4%90%C3%A8n-Led-G%E1%BA%AFn-Van-Xe-1-c%C3%A1i-i.19609604.22048136056","2026-05-24T08:27:14.852746"
"Đèn Led Gắn Van Xe 1 cái","Chạy thì nó sáng đc phần đèn led ở dưới còn ở trên ko thấy phát sáng thua luôn","1","2024-10-20","","https://shopee.vn/%C4%90%C3%A8n-Led-G%E1%BA%AFn-Van-Xe-1-c%C3%A1i-i.19609604.22048136056","2026-05-24T08:27:14.852888"
"Đèn Led Gắn Van Xe 1 cái","Chất lượng sản phẩm:hàng tốt cho shop 5 *","1","2023-09-10","","https://shopee.vn/%C4%90%C3%A8n-Led-G%E1%BA%AFn-Van-Xe-1-c%C3%A1i-i.19609604.22048136056","2026-05-24T08:27:14.852961"
"Đèn Led Gắn Van Xe 1 cái","Chất lượng sản phẩm:tốt Đúng với mô tả:đúng Tốt nhưng lại hỏng 1 cái","1","2024-09-23","","https://shopee.vn/%C4%90%C3%A8n-Led-G%E1%BA%AFn-Van-Xe-1-c%C3%A1i-i.19609604.22048136056","2026-05-24T08:27:14.853025"
"Đèn Led Gắn Van Xe 1 cái","Hang giao nhanh.Đèn led hết điện hk có cái chuyển cắm sang xe đạp","1","2023-10-02","","https://shopee.vn/%C4%90%C3%A8n-Led-G%E1%BA%AFn-Van-Xe-1-c%C3%A1i-i.19609604.22048136056","2026-05-24T08:27:14.853086"
"Đèn Led Gắn Van Xe 1 cái","Hàng gì mà không đêm dô nhà tui mà giao lộn nhà nữa 😭","1","2024-07-04","","https://shopee.vn/%C4%90%C3%A8n-Led-G%E1%BA%AFn-Van-Xe-1-c%C3%A1i-i.19609604.22048136056","2026-05-24T08:27:14.853146"
"Đèn Led Gắn Van Xe 1 cái","Đặt loại màu đỏ, nhưng shop giao màu khác, làm ăn ko đúng sản phẩm khi giao, và ko kiểm tra sản phẩm khi giao.","1","2024-09-11","https://cf.shopee.vn/file/vn-11134103-7r98o-m01i0zds89gt8f|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7r98o-m01i4feqnizx48","https://shopee.vn/%C4%90%C3%A8n-Led-G%E1%BA%AFn-Van-Xe-1-c%C3%A1i-i.19609604.22048136056","2026-05-24T08:27:14.853224"
"Đèn Led Gắn Van Xe 1 cái","Chất lượng sản phẩm:tốt Đúng với mô tả:đúng Giao hàng ..bị lỗi 10 cái","1","2023-11-03","","https://shopee.vn/%C4%90%C3%A8n-Led-G%E1%BA%AFn-Van-Xe-1-c%C3%A1i-i.19609604.22048136056","2026-05-24T08:27:14.853285"
"Đèn Led Gắn Van Xe 1 cái","Shop đóng gói kiểu gi mà 1 cái lên đèn 1 cái ko lên đèn tệ","1","2024-11-05","https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7ras8-m27nvbotdz9049","https://shopee.vn/%C4%90%C3%A8n-Led-G%E1%BA%AFn-Van-Xe-1-c%C3%A1i-i.19609604.22048136056","2026-05-24T08:27:14.853342"
"Đèn Led Gắn Van Xe 1 cái","Đúng với mô tả:sao chỉ mỗi 2 cục pin v đèn đâu? Chất lượng sản phẩm:trẹ","1","2024-07-11","","https://shopee.vn/%C4%90%C3%A8n-Led-G%E1%BA%AFn-Van-Xe-1-c%C3%A1i-i.19609604.22048136056","2026-05-24T08:27:14.853399"
