"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Đèn led gắn bánh xe đạp chống thấm nước 3 chế độ sáng","Shop giao hàng hết pin. Hàng này đã sd vì pin k còn mẩu giấy chắn.","1","2023-08-17","https://cf.shopee.vn/file/vn-11134103-7qukw-lkj7teejnu7c9a","https://shopee.vn/%C4%90%C3%A8n-led-g%E1%BA%AFn-b%C3%A1nh-xe-%C4%91%E1%BA%A1p-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-3-ch%E1%BA%BF-%C4%91%E1%BB%99-s%C3%A1ng-i.3075268.5535318985","2026-05-24T08:28:06.567066"
"Đèn led gắn bánh xe đạp chống thấm nước 3 chế độ sáng","Chất lượng sản phẩm:ok Đúng với mô tả:OK Mọi thứ đều OK do mk ik biết mọi người hay vào xem 1 sao lên mik đánh giá 1 sao mía đi tốt đấy","1","2023-10-14","","https://shopee.vn/%C4%90%C3%A8n-led-g%E1%BA%AFn-b%C3%A1nh-xe-%C4%91%E1%BA%A1p-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-3-ch%E1%BA%BF-%C4%91%E1%BB%99-s%C3%A1ng-i.3075268.5535318985","2026-05-24T08:28:06.567153"
"Đèn led gắn bánh xe đạp chống thấm nước 3 chế độ sáng","Đúng với mô tả:đc Chất lượng sản phẩm:tạm Nên mua","1","2023-08-22","","https://shopee.vn/%C4%90%C3%A8n-led-g%E1%BA%AFn-b%C3%A1nh-xe-%C4%91%E1%BA%A1p-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-3-ch%E1%BA%BF-%C4%91%E1%BB%99-s%C3%A1ng-i.3075268.5535318985","2026-05-24T08:28:06.567188"
"Đèn led gắn bánh xe đạp chống thấm nước 3 chế độ sáng","Mua phụ kiện này phí tiền đèn sạc nháy đỏ k lên, mua mấy cái lên thì 3 chiếc k dùng đc đúng là phí tiền khi mua cái này luôn xong k trả đc . Mua ngoài cho nhanh thử đc lấy đắt hơn tí cũng đỡ phí còn dùng đc","1","2024-12-08","https://cf.shopee.vn/file/vn-11134103-7ras8-m3j4c4s3b5j04d|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7ras8-m3j4jzpt85y991","https://shopee.vn/%C4%90%C3%A8n-led-g%E1%BA%AFn-b%C3%A1nh-xe-%C4%91%E1%BA%A1p-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-3-ch%E1%BA%BF-%C4%91%E1%BB%99-s%C3%A1ng-i.3075268.5535318985","2026-05-24T08:28:06.567237"
"Đèn led gắn bánh xe đạp chống thấm nước 3 chế độ sáng","Chất lượng sản phẩm:K như mong đợi Đúng với mô tả:K Hàng thì k biết ra sao nhưng tôi khẳng định tôi vẫn chưa nhận được hàng Trong lúc tôi chưa nhận mà shipper lại tự kí ,tự chụp hàng ,k giao hàng r còn tự kí nữa chớ . Mặc dù đơn tôi có thể đặt lại đc nhưng mã đơn hàng đầu tiên của tôi đã mất","1","2023-11-08","","https://shopee.vn/%C4%90%C3%A8n-led-g%E1%BA%AFn-b%C3%A1nh-xe-%C4%91%E1%BA%A1p-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-3-ch%E1%BA%BF-%C4%91%E1%BB%99-s%C3%A1ng-i.3075268.5535318985","2026-05-24T08:28:06.567277"
"Đèn led gắn bánh xe đạp chống thấm nước 3 chế độ sáng","Chất lượng sản phẩm:kem Chất lượng kém. Ko nên mua. Mua 2 đèn thì 1 đèn sáng 1 đèn ko sáng Mình đã sai lầm khi mua nhiều sản phẩm ở đây ngay lần đầu. Những sản phẩm khác chất lượng cũng kém. Cái đèn gắn nan hoa xe mua 4 cái ko cái nào sáng","1","2023-08-20","https://cf.shopee.vn/file/vn-11134103-7r98o-lknctmdi3une85|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-23080-3fr71ye5mxuvfc","https://shopee.vn/%C4%90%C3%A8n-led-g%E1%BA%AFn-b%C3%A1nh-xe-%C4%91%E1%BA%A1p-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-3-ch%E1%BA%BF-%C4%91%E1%BB%99-s%C3%A1ng-i.3075268.5535318985","2026-05-24T08:28:06.567312"
"Đèn led gắn bánh xe đạp chống thấm nước 3 chế độ sáng","Đèn dùng ko sáng , chất lượng kém . Có đèn sáng , có đèn ko","1","2022-12-05","https://cf.shopee.vn/file/vn-11134103-22120-pbznmgwggpkv2a","https://shopee.vn/%C4%90%C3%A8n-led-g%E1%BA%AFn-b%C3%A1nh-xe-%C4%91%E1%BA%A1p-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-3-ch%E1%BA%BF-%C4%91%E1%BB%99-s%C3%A1ng-i.3075268.5535318985","2026-05-24T08:28:06.567340"
"Đèn led gắn bánh xe đạp chống thấm nước 3 chế độ sáng","Chất lượng sản phẩm:bình thường Hàng nói dao chưa về","1","2024-12-24","","https://shopee.vn/%C4%90%C3%A8n-led-g%E1%BA%AFn-b%C3%A1nh-xe-%C4%91%E1%BA%A1p-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-3-ch%E1%BA%BF-%C4%91%E1%BB%99-s%C3%A1ng-i.3075268.5535318985","2026-05-24T08:28:06.567374"
"Đèn led gắn bánh xe đạp chống thấm nước 3 chế độ sáng","Gắn vào lòng Vc đạp nhanh 1 tý lại bay ra, dùng có 2 hôm đã hết pin","1","2023-09-27","","https://shopee.vn/%C4%90%C3%A8n-led-g%E1%BA%AFn-b%C3%A1nh-xe-%C4%91%E1%BA%A1p-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-3-ch%E1%BA%BF-%C4%91%E1%BB%99-s%C3%A1ng-i.3075268.5535318985","2026-05-24T08:28:06.567421"
"Đèn led gắn bánh xe đạp chống thấm nước 3 chế độ sáng","Chất lượng sản phẩm:ko dùng được Đúng với mô tả:ko dùng dc Ko dùng được","1","2022-09-08","","https://shopee.vn/%C4%90%C3%A8n-led-g%E1%BA%AFn-b%C3%A1nh-xe-%C4%91%E1%BA%A1p-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-3-ch%E1%BA%BF-%C4%91%E1%BB%99-s%C3%A1ng-i.3075268.5535318985","2026-05-24T08:28:06.567465"
