"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Đồng hồ điện tử WR F94WA 9DG chống nước bơi lội đi mưa thoải mái, Đồng hồ F94 dây nhựa huyền thoại.","Mới sài dc hôm .nc vào rồi","1","2023-05-18","https://cf.shopee.vn/file/vn-11134103-7qukw-lgycx00mp62be2","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91i%E1%BB%87n-t%E1%BB%AD-WR-F94WA-9DG-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-b%C6%A1i-l%E1%BB%99i-%C4%91i-m%C6%B0a-tho%E1%BA%A3i-m%C3%A1i-%C4%90%E1%BB%93ng-h%E1%BB%93-F94-d%C3%A2y-nh%E1%BB%B1a-huy%E1%BB%81n-tho%E1%BA%A1i.-i.135375573.2915547104","2026-05-23T21:51:28.777956"
"Đồng hồ điện tử WR F94WA 9DG chống nước bơi lội đi mưa thoải mái, Đồng hồ F94 dây nhựa huyền thoại.","Mọi người cân nhắc trước khi mua. Mình dùng được vài hôm vào nước giờ tậm tịt luôn !","1","2022-05-08","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91i%E1%BB%87n-t%E1%BB%AD-WR-F94WA-9DG-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-b%C6%A1i-l%E1%BB%99i-%C4%91i-m%C6%B0a-tho%E1%BA%A3i-m%C3%A1i-%C4%90%E1%BB%93ng-h%E1%BB%93-F94-d%C3%A2y-nh%E1%BB%B1a-huy%E1%BB%81n-tho%E1%BA%A1i.-i.135375573.2915547104","2026-05-23T21:51:28.778059"
"Đồng hồ điện tử WR F94WA 9DG chống nước bơi lội đi mưa thoải mái, Đồng hồ F94 dây nhựa huyền thoại.","Không dùng được, mua phí tiền. Chỉ tắm bình thường 1 lần thôi","1","2025-03-09","https://cf.shopee.vn/file/vn-11134103-7ra0g-m74og2atsf2wd3","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91i%E1%BB%87n-t%E1%BB%AD-WR-F94WA-9DG-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-b%C6%A1i-l%E1%BB%99i-%C4%91i-m%C6%B0a-tho%E1%BA%A3i-m%C3%A1i-%C4%90%E1%BB%93ng-h%E1%BB%93-F94-d%C3%A2y-nh%E1%BB%B1a-huy%E1%BB%81n-tho%E1%BA%A1i.-i.135375573.2915547104","2026-05-23T21:51:28.778114"
"Đồng hồ điện tử WR F94WA 9DG chống nước bơi lội đi mưa thoải mái, Đồng hồ F94 dây nhựa huyền thoại.","Chất liệu:nHựa Màu sắc:đen Đúng với mô tả:đúng mẫu Đúng mẫu nhưng hoàn toàn k chống nước.","1","2022-06-25","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91i%E1%BB%87n-t%E1%BB%AD-WR-F94WA-9DG-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-b%C6%A1i-l%E1%BB%99i-%C4%91i-m%C6%B0a-tho%E1%BA%A3i-m%C3%A1i-%C4%90%E1%BB%93ng-h%E1%BB%93-F94-d%C3%A2y-nh%E1%BB%B1a-huy%E1%BB%81n-tho%E1%BA%A1i.-i.135375573.2915547104","2026-05-23T21:51:28.778168"
"Đồng hồ điện tử WR F94WA 9DG chống nước bơi lội đi mưa thoải mái, Đồng hồ F94 dây nhựa huyền thoại.",". Hàng fake, không được sắc nét. Nắp lưng hơi thô. Chạy 1 tháng chậm 1 phút, 2 tháng 2 phút dù pin đang mới.","1","2022-03-30","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91i%E1%BB%87n-t%E1%BB%AD-WR-F94WA-9DG-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-b%C6%A1i-l%E1%BB%99i-%C4%91i-m%C6%B0a-tho%E1%BA%A3i-m%C3%A1i-%C4%90%E1%BB%93ng-h%E1%BB%93-F94-d%C3%A2y-nh%E1%BB%B1a-huy%E1%BB%81n-tho%E1%BA%A1i.-i.135375573.2915547104","2026-05-23T21:51:28.778219"
"Đồng hồ điện tử WR F94WA 9DG chống nước bơi lội đi mưa thoải mái, Đồng hồ F94 dây nhựa huyền thoại.","Pin theo máy dùng dc 1 tuần hết ohin thay pin đi theo vào cũng dc vài ngày hết pin nốt","1","2024-08-18","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91i%E1%BB%87n-t%E1%BB%AD-WR-F94WA-9DG-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-b%C6%A1i-l%E1%BB%99i-%C4%91i-m%C6%B0a-tho%E1%BA%A3i-m%C3%A1i-%C4%90%E1%BB%93ng-h%E1%BB%93-F94-d%C3%A2y-nh%E1%BB%B1a-huy%E1%BB%81n-tho%E1%BA%A1i.-i.135375573.2915547104","2026-05-23T21:51:28.778266"
"Đồng hồ điện tử WR F94WA 9DG chống nước bơi lội đi mưa thoải mái, Đồng hồ F94 dây nhựa huyền thoại.","Tặng pin có chút ét sao thay pin đồng hồ","1","2026-04-23","https://cf.shopee.vn/file/https://down-zl-vn.img.susercontent.com/vn-11110103-6va09-mndtyc1ush6q7f_cover","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91i%E1%BB%87n-t%E1%BB%AD-WR-F94WA-9DG-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-b%C6%A1i-l%E1%BB%99i-%C4%91i-m%C6%B0a-tho%E1%BA%A3i-m%C3%A1i-%C4%90%E1%BB%93ng-h%E1%BB%93-F94-d%C3%A2y-nh%E1%BB%B1a-huy%E1%BB%81n-tho%E1%BA%A1i.-i.135375573.2915547104","2026-05-23T21:51:28.778310"
"Đồng hồ điện tử WR F94WA 9DG chống nước bơi lội đi mưa thoải mái, Đồng hồ F94 dây nhựa huyền thoại.","Giao hàng fake , hàng lỗi , k hỗ trợ khách hàng đổi trả . K nên mua nhé mọi ng .","1","2025-10-04","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91i%E1%BB%87n-t%E1%BB%AD-WR-F94WA-9DG-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-b%C6%A1i-l%E1%BB%99i-%C4%91i-m%C6%B0a-tho%E1%BA%A3i-m%C3%A1i-%C4%90%E1%BB%93ng-h%E1%BB%93-F94-d%C3%A2y-nh%E1%BB%B1a-huy%E1%BB%81n-tho%E1%BA%A1i.-i.135375573.2915547104","2026-05-23T21:51:28.778357"
"Đồng hồ điện tử WR F94WA 9DG chống nước bơi lội đi mưa thoải mái, Đồng hồ F94 dây nhựa huyền thoại.","","1","2026-02-07","https://cf.shopee.vn/file/vn-11134103-81ztc-mkfddyo9c2dj9e","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91i%E1%BB%87n-t%E1%BB%AD-WR-F94WA-9DG-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-b%C6%A1i-l%E1%BB%99i-%C4%91i-m%C6%B0a-tho%E1%BA%A3i-m%C3%A1i-%C4%90%E1%BB%93ng-h%E1%BB%93-F94-d%C3%A2y-nh%E1%BB%B1a-huy%E1%BB%81n-tho%E1%BA%A1i.-i.135375573.2915547104","2026-05-23T21:51:28.778396"
"Đồng hồ điện tử WR F94WA 9DG chống nước bơi lội đi mưa thoải mái, Đồng hồ F94 dây nhựa huyền thoại.","Quá tệ tiếng thì nhỏ kêu đc tý hết","1","2025-02-11","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-%C4%91i%E1%BB%87n-t%E1%BB%AD-WR-F94WA-9DG-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-b%C6%A1i-l%E1%BB%99i-%C4%91i-m%C6%B0a-tho%E1%BA%A3i-m%C3%A1i-%C4%90%E1%BB%93ng-h%E1%BB%93-F94-d%C3%A2y-nh%E1%BB%B1a-huy%E1%BB%81n-tho%E1%BA%A1i.-i.135375573.2915547104","2026-05-23T21:51:28.778440"
