"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Đồng hồ nam chính hãng PABLO RAEZ dây da cao cấp có lịch ngày dạ quang cao cấp U850 CARIENT","đồng hồ chạy chậm giờ, nhắn thì shop trả lời 1 nẻo kiểu trả lời cho có :)))","1","2026-04-10","https://cf.shopee.vn/file/vn-11134103-81ztc-mmvcef201ssmda|https://cf.shopee.vn/file/https://down-zl-vn.img.susercontent.com/vn-11110103-6va0i-mmvce35gxs038c_cover","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-ch%C3%ADnh-h%C3%A3ng-PABLO-RAEZ-d%C3%A2y-da-cao-c%E1%BA%A5p-c%C3%B3-l%E1%BB%8Bch-ng%C3%A0y-d%E1%BA%A1-quang-cao-c%E1%BA%A5p-U850-CARIENT-i.535470558.22864673701","2026-05-23T21:53:06.064844"
"Đồng hồ nam chính hãng PABLO RAEZ dây da cao cấp có lịch ngày dạ quang cao cấp U850 CARIENT","Dùng chưa được mấy bữa mà hư luôn cả, đi sửa tiền gấp mấy lần mua🙂","1","2026-03-26","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-ch%C3%ADnh-h%C3%A3ng-PABLO-RAEZ-d%C3%A2y-da-cao-c%E1%BA%A5p-c%C3%B3-l%E1%BB%8Bch-ng%C3%A0y-d%E1%BA%A1-quang-cao-c%E1%BA%A5p-U850-CARIENT-i.535470558.22864673701","2026-05-23T21:53:06.064890"
"Đồng hồ nam chính hãng PABLO RAEZ dây da cao cấp có lịch ngày dạ quang cao cấp U850 CARIENT","Đặt màu nâu giao màu đen","1","2025-03-08","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-ch%C3%ADnh-h%C3%A3ng-PABLO-RAEZ-d%C3%A2y-da-cao-c%E1%BA%A5p-c%C3%B3-l%E1%BB%8Bch-ng%C3%A0y-d%E1%BA%A1-quang-cao-c%E1%BA%A5p-U850-CARIENT-i.535470558.22864673701","2026-05-23T21:53:06.064903"
"Đồng hồ nam chính hãng PABLO RAEZ dây da cao cấp có lịch ngày dạ quang cao cấp U850 CARIENT","Chất liệu:cung Màu sắc:den Thiết kế:bth Rất xấu, quai đeo bị bong da, báo đổi khác nhưng k ai đến lấy hàng, shop ko can thiệp, không thể đổi hàng đã thế đợi lâu, làm ăn chả ra gì chán shop ko bao giờ mua lại","1","2026-03-18","https://cf.shopee.vn/file/vn-11134103-81ztc-mlyvzhpifabo9c|https://cf.shopee.vn/file/vn-11134103-81ztc-mlyw0brim39g43|https://cf.shopee.vn/file/https://down-zl-vn.img.susercontent.com/vn-11110103-6v98y-mlyw06al026cc3_cover","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-ch%C3%ADnh-h%C3%A3ng-PABLO-RAEZ-d%C3%A2y-da-cao-c%E1%BA%A5p-c%C3%B3-l%E1%BB%8Bch-ng%C3%A0y-d%E1%BA%A1-quang-cao-c%E1%BA%A5p-U850-CARIENT-i.535470558.22864673701","2026-05-23T21:53:06.064919"
"Đồng hồ nam chính hãng PABLO RAEZ dây da cao cấp có lịch ngày dạ quang cao cấp U850 CARIENT","Khỏi cảm ơn","1","2025-04-24","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-ch%C3%ADnh-h%C3%A3ng-PABLO-RAEZ-d%C3%A2y-da-cao-c%E1%BA%A5p-c%C3%B3-l%E1%BB%8Bch-ng%C3%A0y-d%E1%BA%A1-quang-cao-c%E1%BA%A5p-U850-CARIENT-i.535470558.22864673701","2026-05-23T21:53:06.064929"
"Đồng hồ nam chính hãng PABLO RAEZ dây da cao cấp có lịch ngày dạ quang cao cấp U850 CARIENT","","1","2026-04-09","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-ch%C3%ADnh-h%C3%A3ng-PABLO-RAEZ-d%C3%A2y-da-cao-c%E1%BA%A5p-c%C3%B3-l%E1%BB%8Bch-ng%C3%A0y-d%E1%BA%A1-quang-cao-c%E1%BA%A5p-U850-CARIENT-i.535470558.22864673701","2026-05-23T21:53:06.064937"
"Đồng hồ nam chính hãng PABLO RAEZ dây da cao cấp có lịch ngày dạ quang cao cấp U850 CARIENT","","1","2025-01-23","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-ch%C3%ADnh-h%C3%A3ng-PABLO-RAEZ-d%C3%A2y-da-cao-c%E1%BA%A5p-c%C3%B3-l%E1%BB%8Bch-ng%C3%A0y-d%E1%BA%A1-quang-cao-c%E1%BA%A5p-U850-CARIENT-i.535470558.22864673701","2026-05-23T21:53:06.064945"
"Đồng hồ nam chính hãng PABLO RAEZ dây da cao cấp có lịch ngày dạ quang cao cấp U850 CARIENT","Hãy tạo hình ảnh phong cách sticker zalo sử dụng khuôn mặt em bé sơ sinh dễ thương. Nên sạch, đơn giản. Tổng cộng 20 biểu cảm đa dạng: cười, khóc, buồn ngủ, ngạc nhiên, ngơ ngác, đang ăn, nhăn nhó, biểu cảm đáng yêu…. Mỗi biểu cảm thêm chữ tiếng Việt dễ thương ví dụ: chào buổi sáng!, cái giề?, tôi nhắc em!, buồn ngủ quá~, huhu Tr™r, wow!, duyệt!, ê nha!, át chì!,mlem mlem~, giận !, úa??? , gút nai:3, xin lũi nhoa , iu quoá, ngầu chưa nè !, hông chịu đâu","2","2026-04-30","https://cf.shopee.vn/file/https://down-zl-vn.img.susercontent.com/vn-11110103-6va0p-mnntgk8r7z0k2a_cover","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-ch%C3%ADnh-h%C3%A3ng-PABLO-RAEZ-d%C3%A2y-da-cao-c%E1%BA%A5p-c%C3%B3-l%E1%BB%8Bch-ng%C3%A0y-d%E1%BA%A1-quang-cao-c%E1%BA%A5p-U850-CARIENT-i.535470558.22864673701","2026-05-23T21:53:06.077307"
"Đồng hồ nam chính hãng PABLO RAEZ dây da cao cấp có lịch ngày dạ quang cao cấp U850 CARIENT","Mới đeo vào là sức gắn dô lắc nhẹ là rớt ra 🥹","2","2026-03-09","https://cf.shopee.vn/file/vn-11134103-81ztc-mllz8q0e50jo2c","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-ch%C3%ADnh-h%C3%A3ng-PABLO-RAEZ-d%C3%A2y-da-cao-c%E1%BA%A5p-c%C3%B3-l%E1%BB%8Bch-ng%C3%A0y-d%E1%BA%A1-quang-cao-c%E1%BA%A5p-U850-CARIENT-i.535470558.22864673701","2026-05-23T21:53:06.077350"
"Đồng hồ nam chính hãng PABLO RAEZ dây da cao cấp có lịch ngày dạ quang cao cấp U850 CARIENT","","2","2025-10-04","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-ch%C3%ADnh-h%C3%A3ng-PABLO-RAEZ-d%C3%A2y-da-cao-c%E1%BA%A5p-c%C3%B3-l%E1%BB%8Bch-ng%C3%A0y-d%E1%BA%A1-quang-cao-c%E1%BA%A5p-U850-CARIENT-i.535470558.22864673701","2026-05-23T21:53:06.077363"
