"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Đồng hồ nam nữ Unisex Led kiểu dáng phi hành gia dây cao su êm tay thời trang cá tính ROSE29","Màu sắc:ok Chưa bao giờ mua hàng shoppi lại thất vọng như vậy","1","2024-02-16","https://cf.shopee.vn/file/vn-11134103-7r98o-lrsgwntfyhmsdc|https://cf.shopee.vn/file/vn-11134103-7r98o-lrsgwntfzw78de|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7r98o-lrsguxxekczo89","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Unisex-Led-ki%E1%BB%83u-d%C3%A1ng-phi-h%C3%A0nh-gia-d%C3%A2y-cao-su-%C3%AAm-tay-th%E1%BB%9Di-trang-c%C3%A1-t%C3%ADnh-ROSE29-i.1124272918.25906053400","2026-05-23T21:51:07.422900"
"Đồng hồ nam nữ Unisex Led kiểu dáng phi hành gia dây cao su êm tay thời trang cá tính ROSE29","Màu sắc:Đẹp Đúng với mô tả:Sinh nhật mua về để đeo , tưởng bên vận chuyển lm hư , nhắn shop , shop online ko rep lúc đầu mua về bấm lên , mà lúc sau bấm không lên vậy shop, Shop lừa ít thôi , tết mà đi lừa ngkh thì cả năm xui xẻo Chất liệu:tốt","1","2024-02-16","https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7r98o-lrsez8fljkplbe","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Unisex-Led-ki%E1%BB%83u-d%C3%A1ng-phi-h%C3%A0nh-gia-d%C3%A2y-cao-su-%C3%AAm-tay-th%E1%BB%9Di-trang-c%C3%A1-t%C3%ADnh-ROSE29-i.1124272918.25906053400","2026-05-23T21:51:07.422983"
"Đồng hồ nam nữ Unisex Led kiểu dáng phi hành gia dây cao su êm tay thời trang cá tính ROSE29","Màu sắc:cũng hơi đẹp Chất liệu:ko đúng Chạy nhanh hơn 1 tiếng","1","2024-06-02","https://cf.shopee.vn/file/vn-11134103-7r98o-lw0vhf1x67yx19|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7r98o-lw0vj9p5omvt07","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Unisex-Led-ki%E1%BB%83u-d%C3%A1ng-phi-h%C3%A0nh-gia-d%C3%A2y-cao-su-%C3%AAm-tay-th%E1%BB%9Di-trang-c%C3%A1-t%C3%ADnh-ROSE29-i.1124272918.25906053400","2026-05-23T21:51:07.423014"
"Đồng hồ nam nữ Unisex Led kiểu dáng phi hành gia dây cao su êm tay thời trang cá tính ROSE29","Màu sắc:Mình đặt màu trắng shop giao màu nâu nhạt Chất liệu:binh thường loại nầy dành cho trẻ con chơi Đúng với mô tả:ko đúng mô tả","1","2024-05-14","https://cf.shopee.vn/file/vn-11134103-7r98o-lvaft7flbxxp9b|https://cf.shopee.vn/file/https://down-bs-vn.img.susercontent.com/vn-11110103-7r98o-lvafruv0g6ml36","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Unisex-Led-ki%E1%BB%83u-d%C3%A1ng-phi-h%C3%A0nh-gia-d%C3%A2y-cao-su-%C3%AAm-tay-th%E1%BB%9Di-trang-c%C3%A1-t%C3%ADnh-ROSE29-i.1124272918.25906053400","2026-05-23T21:51:07.423048"
"Đồng hồ nam nữ Unisex Led kiểu dáng phi hành gia dây cao su êm tay thời trang cá tính ROSE29","đồng hồ k xem dc gi","1","2024-02-18","https://cf.shopee.vn/file/vn-11134103-7r98o-lrv59vdqa0ucea","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Unisex-Led-ki%E1%BB%83u-d%C3%A1ng-phi-h%C3%A0nh-gia-d%C3%A2y-cao-su-%C3%AAm-tay-th%E1%BB%9Di-trang-c%C3%A1-t%C3%ADnh-ROSE29-i.1124272918.25906053400","2026-05-23T21:51:07.423073"
"Đồng hồ nam nữ Unisex Led kiểu dáng phi hành gia dây cao su êm tay thời trang cá tính ROSE29","Shop ko giao nhẫn còn ko xin lỗi còn kêu mua đơn mới 😡😡😡","1","2024-05-08","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Unisex-Led-ki%E1%BB%83u-d%C3%A1ng-phi-h%C3%A0nh-gia-d%C3%A2y-cao-su-%C3%AAm-tay-th%E1%BB%9Di-trang-c%C3%A1-t%C3%ADnh-ROSE29-i.1124272918.25906053400","2026-05-23T21:51:07.423099"
"Đồng hồ nam nữ Unisex Led kiểu dáng phi hành gia dây cao su êm tay thời trang cá tính ROSE29","Màu sắc:đẹp Đúng với mô tả:đeo mới được có một ngày là hư rồi Chất liệu:cũng được đó Đeo chưa đầy một ngày nữa đã hư rồi Đúng là hàng dởm đừng mua nha mọi người shop gì đâu kỳ cục🤬","1","2024-09-22","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Unisex-Led-ki%E1%BB%83u-d%C3%A1ng-phi-h%C3%A0nh-gia-d%C3%A2y-cao-su-%C3%AAm-tay-th%E1%BB%9Di-trang-c%C3%A1-t%C3%ADnh-ROSE29-i.1124272918.25906053400","2026-05-23T21:51:07.423129"
"Đồng hồ nam nữ Unisex Led kiểu dáng phi hành gia dây cao su êm tay thời trang cá tính ROSE29","Màu sắc:đẹp Chất liệu:tốt Đúng với mô tả:đúng Mà nhắn shop ko trả lời bịp","1","2024-11-14","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Unisex-Led-ki%E1%BB%83u-d%C3%A1ng-phi-h%C3%A0nh-gia-d%C3%A2y-cao-su-%C3%AAm-tay-th%E1%BB%9Di-trang-c%C3%A1-t%C3%ADnh-ROSE29-i.1124272918.25906053400","2026-05-23T21:51:07.423152"
"Đồng hồ nam nữ Unisex Led kiểu dáng phi hành gia dây cao su êm tay thời trang cá tính ROSE29","Đúng với mô tả:Sai Chất liệu:Mô hình Màu sắc:hồng Shop bán có tâm tí đi ạ lần đầu đặt thấy ổn nên đặt tiếp mà lại giao đồng hồ mô hình ko nên mua nhé mn","1","2024-03-06","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Unisex-Led-ki%E1%BB%83u-d%C3%A1ng-phi-h%C3%A0nh-gia-d%C3%A2y-cao-su-%C3%AAm-tay-th%E1%BB%9Di-trang-c%C3%A1-t%C3%ADnh-ROSE29-i.1124272918.25906053400","2026-05-23T21:51:07.423177"
"Đồng hồ nam nữ Unisex Led kiểu dáng phi hành gia dây cao su êm tay thời trang cá tính ROSE29","Đúng với mô tả:dungd Màu sắc:Hồng Chất liệu:tốt Nhưng mới mua về mà bị hư","1","2024-04-09","","https://shopee.vn/%C4%90%E1%BB%93ng-h%E1%BB%93-nam-n%E1%BB%AF-Unisex-Led-ki%E1%BB%83u-d%C3%A1ng-phi-h%C3%A0nh-gia-d%C3%A2y-cao-su-%C3%AAm-tay-th%E1%BB%9Di-trang-c%C3%A1-t%C3%ADnh-ROSE29-i.1124272918.25906053400","2026-05-23T21:51:07.423200"
