"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","Nhắn nhờ cắt theo kích thước, shop đồng ý, lúc gửi, gửi cho thanh gỗ kh cắt, từ đầu không cắt được thì nói để đặt loại khác, đồng ý rồi để đó, chẳng hiểu làm ăn kiểu gì","1","2026-01-13","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068239"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","Mua 3 lần r chuyến này giao toàn cây công cho Mình","1","2025-06-02","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068323"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","Chất liệu:gửi có thanh gỗ bị lỗi. kích thước","1","2026-04-08","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068366"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","1. khác quá xa so với sp mẫu 2. Một màu xám xịt, để màu gỗ tự nhiên còn đẹp hơn 3. Sơn cẩu thả, chất lượng kém","1","2024-06-09","https://cf.shopee.vn/file/vn-11134103-7r98o-lwaxpb3mehgb19","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068409"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","Hàng thiếu kích thước","1","2024-09-22","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068449"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","Bình thường","1","2025-09-30","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068482"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","Bình thường","1","2025-04-22","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068513"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","Hàng dễ gãy","1","2025-05-24","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068544"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","cc","1","2026-01-26","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068574"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","","1","2025-02-18","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068605"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","","1","2025-03-17","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068636"
"Combo tiết kiệm gỗ thông vuông 1cm x dài 1m2-1m-80cm-60cm-50cm-40cm-30cm đã bào láng 4 mặt","","1","2024-10-29","","https://shopee.vn/Combo-ti%E1%BA%BFt-ki%E1%BB%87m-g%E1%BB%97-th%C3%B4ng-vu%C3%B4ng-1cm-x-d%C3%A0i-1m2-1m-80cm-60cm-50cm-40cm-30cm-%C4%91%C3%A3-b%C3%A0o-l%C3%A1ng-4-m%E1%BA%B7t-i.293567401.17766944236","2026-05-24T08:31:15.068665"
