"product_name","text","rating","date","image_urls","product_url","scraped_at"
"SAI MAGIC TATTOO Hình Dán Xăm Tạm Thời Mini Xinh Xắn Chống Nước Lâu Trôi 1-2 Tuần 50 Mẫu Nhẹ Nhàng Dễ Dán","Màu sắc:đen Đúng với mô tả:không nó bị mơg mơg k rõ để ngày.r mà k lên đc rõ như huingws. dẫn làm đúng mà k thành hinhg nham nham dơ dơ Chất liệu:đêut","1","2023-08-30","https://cf.shopee.vn/file/vn-11134103-7r98o-ll1oese70jj13a|https://cf.shopee.vn/file/vn-11134103-7r98o-ll1oese71y3he5|https://cf.shopee.vn/file/vn-11134103-7r98o-ll1oese73cnx04|https://cf.shopee.vn/file/vn-11134103-7r98o-ll1oese74r8df7|https://cf.shopee.vn/file/https://down-aka-vn.img.susercontent.com/vn-11110103-23080-cl6tj2trybvv29","https://shopee.vn/SAI-MAGIC-TATTOO-H%C3%ACnh-D%C3%A1n-X%C4%83m-T%E1%BA%A1m-Th%E1%BB%9Di-Mini-Xinh-X%E1%BA%AFn-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-L%C3%A2u-Tr%C3%B4i-1-2-Tu%E1%BA%A7n-50-M%E1%BA%ABu-Nh%E1%BA%B9-Nh%C3%A0ng-D%E1%BB%85-D%C3%A1n-i.325855274.9715447079","2026-05-24T08:43:15.426636"
"SAI MAGIC TATTOO Hình Dán Xăm Tạm Thời Mini Xinh Xắn Chống Nước Lâu Trôi 1-2 Tuần 50 Mẫu Nhẹ Nhàng Dễ Dán","ê ý là hình xăm tạm thời là chỉ dc mấy tiếng z thôi hả????","1","2024-11-18","https://cf.shopee.vn/file/vn-11134103-7ras8-m2qfow9hj18m95|https://cf.shopee.vn/file/vn-11134103-7ras8-m2qfow9hj0ze06|https://cf.shopee.vn/file/vn-11134103-7ras8-m2rh1tgkv2fa54|https://cf.shopee.vn/file/https://down-aka-vn.img.susercontent.com/vn-11110103-7ras8-m2qfq1ir6x8a93","https://shopee.vn/SAI-MAGIC-TATTOO-H%C3%ACnh-D%C3%A1n-X%C4%83m-T%E1%BA%A1m-Th%E1%BB%9Di-Mini-Xinh-X%E1%BA%AFn-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-L%C3%A2u-Tr%C3%B4i-1-2-Tu%E1%BA%A7n-50-M%E1%BA%ABu-Nh%E1%BA%B9-Nh%C3%A0ng-D%E1%BB%85-D%C3%A1n-i.325855274.9715447079","2026-05-24T08:43:15.426730"
"SAI MAGIC TATTOO Hình Dán Xăm Tạm Thời Mini Xinh Xắn Chống Nước Lâu Trôi 1-2 Tuần 50 Mẫu Nhẹ Nhàng Dễ Dán","trong hình màu đen , giao về mau xanh , giao hàng lâu","1","2021-12-25","https://cf.shopee.vn/file/1a8df546abc63806c6af77c9e56fb16c|https://cf.shopee.vn/file/647aefaee2f4d09810edf822fd65544a|https://cf.shopee.vn/file/0570b77a58a02f9b298af263b540e7bb","https://shopee.vn/SAI-MAGIC-TATTOO-H%C3%ACnh-D%C3%A1n-X%C4%83m-T%E1%BA%A1m-Th%E1%BB%9Di-Mini-Xinh-X%E1%BA%AFn-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-L%C3%A2u-Tr%C3%B4i-1-2-Tu%E1%BA%A7n-50-M%E1%BA%ABu-Nh%E1%BA%B9-Nh%C3%A0ng-D%E1%BB%85-D%C3%A1n-i.325855274.9715447079","2026-05-24T08:43:15.426778"
"SAI MAGIC TATTOO Hình Dán Xăm Tạm Thời Mini Xinh Xắn Chống Nước Lâu Trôi 1-2 Tuần 50 Mẫu Nhẹ Nhàng Dễ Dán","","1","2021-11-03","","https://shopee.vn/SAI-MAGIC-TATTOO-H%C3%ACnh-D%C3%A1n-X%C4%83m-T%E1%BA%A1m-Th%E1%BB%9Di-Mini-Xinh-X%E1%BA%AFn-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-L%C3%A2u-Tr%C3%B4i-1-2-Tu%E1%BA%A7n-50-M%E1%BA%ABu-Nh%E1%BA%B9-Nh%C3%A0ng-D%E1%BB%85-D%C3%A1n-i.325855274.9715447079","2026-05-24T08:43:15.426818"
"SAI MAGIC TATTOO Hình Dán Xăm Tạm Thời Mini Xinh Xắn Chống Nước Lâu Trôi 1-2 Tuần 50 Mẫu Nhẹ Nhàng Dễ Dán","quá tệ gửi sai sản phẩm","1","2022-03-04","https://cf.shopee.vn/file/72412e5b6009bbb920b4a91a56927581","https://shopee.vn/SAI-MAGIC-TATTOO-H%C3%ACnh-D%C3%A1n-X%C4%83m-T%E1%BA%A1m-Th%E1%BB%9Di-Mini-Xinh-X%E1%BA%AFn-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-L%C3%A2u-Tr%C3%B4i-1-2-Tu%E1%BA%A7n-50-M%E1%BA%ABu-Nh%E1%BA%B9-Nh%C3%A0ng-D%E1%BB%85-D%C3%A1n-i.325855274.9715447079","2026-05-24T08:43:15.426857"
"SAI MAGIC TATTOO Hình Dán Xăm Tạm Thời Mini Xinh Xắn Chống Nước Lâu Trôi 1-2 Tuần 50 Mẫu Nhẹ Nhàng Dễ Dán","Chất liệu:kĩ thuật Đúng với mô tả:ko rao Màu sắc:ko Che","1","2023-10-15","","https://shopee.vn/SAI-MAGIC-TATTOO-H%C3%ACnh-D%C3%A1n-X%C4%83m-T%E1%BA%A1m-Th%E1%BB%9Di-Mini-Xinh-X%E1%BA%AFn-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-L%C3%A2u-Tr%C3%B4i-1-2-Tu%E1%BA%A7n-50-M%E1%BA%ABu-Nh%E1%BA%B9-Nh%C3%A0ng-D%E1%BB%85-D%C3%A1n-i.325855274.9715447079","2026-05-24T08:43:15.426896"
"SAI MAGIC TATTOO Hình Dán Xăm Tạm Thời Mini Xinh Xắn Chống Nước Lâu Trôi 1-2 Tuần 50 Mẫu Nhẹ Nhàng Dễ Dán","Shipper ko giáo cho đúng chủ nhân","1","2023-11-26","","https://shopee.vn/SAI-MAGIC-TATTOO-H%C3%ACnh-D%C3%A1n-X%C4%83m-T%E1%BA%A1m-Th%E1%BB%9Di-Mini-Xinh-X%E1%BA%AFn-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-L%C3%A2u-Tr%C3%B4i-1-2-Tu%E1%BA%A7n-50-M%E1%BA%ABu-Nh%E1%BA%B9-Nh%C3%A0ng-D%E1%BB%85-D%C3%A1n-i.325855274.9715447079","2026-05-24T08:43:15.426930"
"SAI MAGIC TATTOO Hình Dán Xăm Tạm Thời Mini Xinh Xắn Chống Nước Lâu Trôi 1-2 Tuần 50 Mẫu Nhẹ Nhàng Dễ Dán","Shop gủi hàng ko đúng với người đặt.......................................","1","2021-10-08","","https://shopee.vn/SAI-MAGIC-TATTOO-H%C3%ACnh-D%C3%A1n-X%C4%83m-T%E1%BA%A1m-Th%E1%BB%9Di-Mini-Xinh-X%E1%BA%AFn-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-L%C3%A2u-Tr%C3%B4i-1-2-Tu%E1%BA%A7n-50-M%E1%BA%ABu-Nh%E1%BA%B9-Nh%C3%A0ng-D%E1%BB%85-D%C3%A1n-i.325855274.9715447079","2026-05-24T08:43:15.426964"
"SAI MAGIC TATTOO Hình Dán Xăm Tạm Thời Mini Xinh Xắn Chống Nước Lâu Trôi 1-2 Tuần 50 Mẫu Nhẹ Nhàng Dễ Dán","Màu sắc:nhạt Đúng với mô tả:không đúng Chất liệu:hình thì đẹp .lúc nhận về thì hình lợt.dán lên kh thấy j hết","1","2023-12-06","https://cf.shopee.vn/file/vn-11134103-7r98o-loxkgt81n32zbe","https://shopee.vn/SAI-MAGIC-TATTOO-H%C3%ACnh-D%C3%A1n-X%C4%83m-T%E1%BA%A1m-Th%E1%BB%9Di-Mini-Xinh-X%E1%BA%AFn-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-L%C3%A2u-Tr%C3%B4i-1-2-Tu%E1%BA%A7n-50-M%E1%BA%ABu-Nh%E1%BA%B9-Nh%C3%A0ng-D%E1%BB%85-D%C3%A1n-i.325855274.9715447079","2026-05-24T08:43:15.427001"
"SAI MAGIC TATTOO Hình Dán Xăm Tạm Thời Mini Xinh Xắn Chống Nước Lâu Trôi 1-2 Tuần 50 Mẫu Nhẹ Nhàng Dễ Dán","Giao hàng thiếu đặt 2 giao 1, hình lên ok nhưng thái độ phục vụ của shop chán .ko nên mua","1","2021-10-18","","https://shopee.vn/SAI-MAGIC-TATTOO-H%C3%ACnh-D%C3%A1n-X%C4%83m-T%E1%BA%A1m-Th%E1%BB%9Di-Mini-Xinh-X%E1%BA%AFn-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-L%C3%A2u-Tr%C3%B4i-1-2-Tu%E1%BA%A7n-50-M%E1%BA%ABu-Nh%E1%BA%B9-Nh%C3%A0ng-D%E1%BB%85-D%C3%A1n-i.325855274.9715447079","2026-05-24T08:43:15.427039"
