"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Tai Nghe A.K.G Có Dây Jack Type-C & 3.5mm, Hỗ Trợ Android, PC, Laptop – Màu Đen","Độ bền:t sài được 8 ngày thì có vô tình lúc mới ngủ dậy, tay quơ ra rất nhẹ nhưng bay luôn cái tai bên phải Chất lượng:âm thanh bình thường, ổn Thiết kế:thiết kế đẹp nha, cũng êm tai và khá thời trang.","1","2026-04-01","https://cf.shopee.vn/file/vn-11134103-81ztc-mmi7dp8nuc5h3b","https://shopee.vn/Tai-Nghe-A.K.G-C%C3%B3-D%C3%A2y-Jack-Type-C-3.5mm-H%E1%BB%97-Tr%E1%BB%A3-Android-PC-Laptop-%E2%80%93-M%C3%A0u-%C4%90en-i.533371118.25720935353","2026-05-23T21:48:42.713591"
"Tai Nghe A.K.G Có Dây Jack Type-C & 3.5mm, Hỗ Trợ Android, PC, Laptop – Màu Đen","Âm thanh:bị rè khi không phát nhạc lẫn đang phát nhạc Thiết kế:đau tai, tai to thì đeo Độ bền:mới dùng được 1 lần và cũng k muốn dùng tiếp Đóng gói bình thường, không có hộp đựng tai nghe như loại mình thường mua, chỉ là một cái vỏ bằng giấy bọc tai nghe r bỏ vào hộp carton thôi, ghim vào máy mãi không thấy biểu tượng kết nối của tai nghe, cả 5p loay mới kết nối được, một lúc lại tự ngắt kết nối, đeo lên đau tai cực, dù shop có tặng thêm mút cao su nhưng đeo tí nó tự tuột tai nghe ra khỏi tai thôi, ai tai to thì chắc k rơi như mình, âm thanh rè nhiễu nghe khó chịu lắm, trong tầm giá này mua loại thường màu trắng vẫn còn khá hơn tai nghe này. Lần đầu cũng như lần cuối, xem như trải nghiệm vậy. 😓","1","2026-04-29","https://cf.shopee.vn/file/vn-11134103-81ztc-mnmgogkrv8jp05|https://cf.shopee.vn/file/https://down-aka-vn.img.susercontent.com/vn-11110103-6va0q-mnmgpr5qal8i93_cover","https://shopee.vn/Tai-Nghe-A.K.G-C%C3%B3-D%C3%A2y-Jack-Type-C-3.5mm-H%E1%BB%97-Tr%E1%BB%A3-Android-PC-Laptop-%E2%80%93-M%C3%A0u-%C4%90en-i.533371118.25720935353","2026-05-23T21:48:42.715258"
"Tai Nghe A.K.G Có Dây Jack Type-C & 3.5mm, Hỗ Trợ Android, PC, Laptop – Màu Đen","Sac full, nghe chua DC 3h het pin, nghe trung bình, ko Maxx vol","1","2026-01-25","","https://shopee.vn/Tai-Nghe-A.K.G-C%C3%B3-D%C3%A2y-Jack-Type-C-3.5mm-H%E1%BB%97-Tr%E1%BB%A3-Android-PC-Laptop-%E2%80%93-M%C3%A0u-%C4%90en-i.533371118.25720935353","2026-05-23T21:48:42.715316"
"Tai Nghe A.K.G Có Dây Jack Type-C & 3.5mm, Hỗ Trợ Android, PC, Laptop – Màu Đen","Tai nghe chỉ nghe được 1 bên, đóng gói lỏng lẻo.","1","2026-04-28","","https://shopee.vn/Tai-Nghe-A.K.G-C%C3%B3-D%C3%A2y-Jack-Type-C-3.5mm-H%E1%BB%97-Tr%E1%BB%A3-Android-PC-Laptop-%E2%80%93-M%C3%A0u-%C4%90en-i.533371118.25720935353","2026-05-23T21:48:42.715344"
"Tai Nghe A.K.G Có Dây Jack Type-C & 3.5mm, Hỗ Trợ Android, PC, Laptop – Màu Đen","Độ bền:chưa biết Thiết kế:còn dính keo nham nhở","1","2025-12-26","https://cf.shopee.vn/file/https://down-aka-vn.img.susercontent.com/vn-11110103-6v8h6-mipuq7bs7ldw26_cover","https://shopee.vn/Tai-Nghe-A.K.G-C%C3%B3-D%C3%A2y-Jack-Type-C-3.5mm-H%E1%BB%97-Tr%E1%BB%A3-Android-PC-Laptop-%E2%80%93-M%C3%A0u-%C4%90en-i.533371118.25720935353","2026-05-23T21:48:42.715369"
"Tai Nghe A.K.G Có Dây Jack Type-C & 3.5mm, Hỗ Trợ Android, PC, Laptop – Màu Đen","khui ra tai nghe bị đứt dây","1","2026-01-23","https://cf.shopee.vn/file/vn-11134103-820l4-mjt4l4k7ehokf4","https://shopee.vn/Tai-Nghe-A.K.G-C%C3%B3-D%C3%A2y-Jack-Type-C-3.5mm-H%E1%BB%97-Tr%E1%BB%A3-Android-PC-Laptop-%E2%80%93-M%C3%A0u-%C4%90en-i.533371118.25720935353","2026-05-23T21:48:42.715394"
"Tai Nghe A.K.G Có Dây Jack Type-C & 3.5mm, Hỗ Trợ Android, PC, Laptop – Màu Đen","","1","2026-03-04","","https://shopee.vn/Tai-Nghe-A.K.G-C%C3%B3-D%C3%A2y-Jack-Type-C-3.5mm-H%E1%BB%97-Tr%E1%BB%A3-Android-PC-Laptop-%E2%80%93-M%C3%A0u-%C4%90en-i.533371118.25720935353","2026-05-23T21:48:42.715416"
"Tai Nghe A.K.G Có Dây Jack Type-C & 3.5mm, Hỗ Trợ Android, PC, Laptop – Màu Đen","","2","2026-03-12","","https://shopee.vn/Tai-Nghe-A.K.G-C%C3%B3-D%C3%A2y-Jack-Type-C-3.5mm-H%E1%BB%97-Tr%E1%BB%A3-Android-PC-Laptop-%E2%80%93-M%C3%A0u-%C4%90en-i.533371118.25720935353","2026-05-23T21:48:42.721772"
"Tai Nghe A.K.G Có Dây Jack Type-C & 3.5mm, Hỗ Trợ Android, PC, Laptop – Màu Đen","","3","2026-05-06","","https://shopee.vn/Tai-Nghe-A.K.G-C%C3%B3-D%C3%A2y-Jack-Type-C-3.5mm-H%E1%BB%97-Tr%E1%BB%A3-Android-PC-Laptop-%E2%80%93-M%C3%A0u-%C4%90en-i.533371118.25720935353","2026-05-23T21:48:42.722946"
"Tai Nghe A.K.G Có Dây Jack Type-C & 3.5mm, Hỗ Trợ Android, PC, Laptop – Màu Đen","","3","2026-03-19","","https://shopee.vn/Tai-Nghe-A.K.G-C%C3%B3-D%C3%A2y-Jack-Type-C-3.5mm-H%E1%BB%97-Tr%E1%BB%A3-Android-PC-Laptop-%E2%80%93-M%C3%A0u-%C4%90en-i.533371118.25720935353","2026-05-23T21:48:42.722984"
