"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020)","","5","2026-04-28","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-29T23:50:19.886084"
"Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020)","","5","2026-04-12","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-29T23:50:19.886125"
"Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020)","","5","2026-03-11","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-29T23:50:19.886168"
"Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020)","Sách tặng.","5","2026-03-08","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-29T23:50:19.886183"
"Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020)","","5","2026-02-26","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-29T23:50:19.886193"
"Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020)","Hay. Đơn giản và dễ hiểu","5","2026-02-08","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-29T23:50:19.886205"
"Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020)","","5","2026-01-27","https://salt.tikicdn.com/ts/review/27/cb/0a/e64eb5e72f68f3aa97c9a0494c4083e0.jpg|https://salt.tikicdn.com/ts/review/fd/72/8a/b908ee50c1a5e4c8abf0dcacfcf7103c.jpg|https://salt.tikicdn.com/ts/review/fc/9e/b6/fcb429b72f1d86ac83926892a85020b9.jpg","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-29T23:50:19.886215"
"Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020)","","5","2026-01-19","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-29T23:50:19.886225"
"Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020)","Giao hàng đúng hẹn, sách bọc cẩn thận. Nội dung thì khỏi phải bàn, tủ sách ai cũng phải có. Cảm ơn tiki, đặt hàng trên tiki mình rất yên tâm về chất lượng và dịch vụ.","5","2025-12-05","https://salt.tikicdn.com/ts/review/c7/02/f1/e4e66a5f761bb4017567e081d805dc76.jpg|https://salt.tikicdn.com/ts/review/9c/e6/92/21c0f70f9ffba6240f7b47e43eadcccb.jpg","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-29T23:50:19.886241"
"Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020)","","5","2025-12-01","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-29T23:50:19.886250"
