"product_name","text","rating","date","image_urls","product_url","scraped_at"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2026-03-09","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846767"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","đóng gói rất cẩn thận, giao nhanh, hsd còn hơn 4 tháng","5","2025-10-27","https://salt.tikicdn.com/ts/review/64/b7/b9/e6f0ef41809618b7125b3dfd58f07c6f.jpg","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846809"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","Giao nhanh đúng hạn. Cũng có gói hơi rò rỉ, phải tìm riêng để tránh lây lan sang cả thùng","5","2025-08-10","https://salt.tikicdn.com/ts/review/92/bf/39/b4e952f8b9143240157ad88c5e8d4170.jpg|https://salt.tikicdn.com/ts/review/e2/58/8d/a2026444689b95531241c83fa4833957.jpg","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846824"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","Sp tốt","5","2025-07-15","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846834"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2025-03-09","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846842"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2024-01-06","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846850"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-09-21","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846858"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","Giao hàng nhanh, đóng gói cẩn thận, chất lượng tốt. Sẽ mua thêm nhiều sản phẩm của shop để ủng hộ.","5","2023-07-08","https://salt.tikicdn.com/ts/review/d7/c7/ee/179452a6715b8a0ec8f13efea939f289.jpg","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846869"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-07-08","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846877"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-06-14","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846884"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","4","2023-06-04","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846892"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","Nhìn quảng cáo tưởng sữa vị bạc hà vậy mà ko phải","4","2023-06-02","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846901"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-06-01","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846908"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","4","2023-05-29","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846916"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-04-08","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846923"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-04-07","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846930"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-03-26","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846938"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-03-05","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846945"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-02-23","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846952"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-02-12","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:53:59.846959"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-02-11","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635366"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-01-28","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635402"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-01-28","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635412"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-01-26","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635421"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-01-10","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635429"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-01-08","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635436"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2023-01-01","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635444"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","Giao hàng nhanh, đóng gói cẩn thận, chất lượng tốt. Sẽ mua thêm nhiều sản phẩm của shop để ủng hộ.","5","2023-01-01","https://salt.tikicdn.com/ts/review/89/d9/92/9a2b21b6786c97dba56aea2299ece7db.jpg","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635456"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2022-12-27","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635465"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2022-12-26","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635472"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2022-12-23","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635479"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2022-12-13","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635487"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2022-12-07","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635493"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","Sữa đậu nành ngon, không ngọt. Shop giao hàng nhanh!","5","2022-11-26","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635502"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","Ngon, giá tốt","5","2022-11-14","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635510"
"Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 36 Hộp)","","5","2022-11-12","","https://tiki.vn/thung-sua-dau-nanh-fami-nguyen-chat-200ml-x-36-hop-p12629696.html","2026-04-29T23:54:00.635517"
